AdigNCBI_PRO	Acervicorn_PRO	Adigitifer_PRO	Aelegantis_PRO	Ahyacinthu_PRO	Amillepora_PRO	Apallida_PRO	Apalmata_PRO	Atenuis_PRO	Fscutaria_PRO	Mauretenra_PRO	Mcavernosa_PRO	Nvectensis_PRO	Ofaveolata_PRO	Pastreoide_PRO	Paustralie_PRO	Pcarnosus_PRO	Pdaedalea_PRO	Pdamicorni_PRO	Plobata_PRO	Pstrigosa_PRO	Shystrix_PRO	Spistillat_PRO	Ssiderea_PRO
XP_015758780.1	GASU01079575.1	adi_EST_assem_1521	comp52459_c0_seq1	NA	c002158	NA	Contig_12998	NA	NA	NA	NA	NA	comp26453_c0_seq1	NA	FX460786.1	Unigene34428_Mix_Normal_N	NA	NA	c52814_g1_i5	NA	NA	NA	comp256282_c1_seq2
XP_015758876.1	GASU01084333.1	adi_EST_assem_7607	comp41296_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene116059_Mix_Normal_N	NA	NA	c60058_g1_i2	NA	NA	NA	NA
XP_015758972.1	NA	adi_EST_assem_9326	comp47516_c0_seq2	NA	c035298	Locus_8072_Transcript_1/1_Confidence_1.0_Length_767	Contig_14802	isotig23791	comp41367_c0_seq1	comp10637_c0_seq1	comp51231_c0_seq1	jgi|Nemve1|175004|estExt_gwp.C_3490055	comp9824_c0_seq1	NA	FX503777.1	Unigene27958_Mix_Normal_N	c12945_g1_i1	NA	c31342_g1_i1	comp21747_c0_seq1	comp77444_c0_seq1	Spi_isotig09699	comp196575_c0_seq1
XP_015759705.1	NA	NA	NA	NA	NA	NA	NA	NA	comp9116_c0_seq3	NA	comp101924_c0_seq3	NA	NA	isotig01068	NA	NA	NA	NA	NA	NA	comp108_c0_seq5	NA	NA
XP_015759465.1	NA	NA	comp16438_c0_seq1	NA	c019122	Locus_11128_Transcript_2/2_Confidence_1.0_Length_1614	NA	NA	NA	comp46189_c0_seq1	NA	jgi|Nemve1|219102|fgenesh1_pg.scaffold_384000030	NA	NA	FX477764.1	NA	NA	bu_91849.1_c5939	c49981_g1_i1	NA	NA	NA	NA
XP_015760323.1	GASU01086865.1	adi_EST_assem_9050	NA	NA	c005463	NA	NA	NA	comp11585_c0_seq1	NA	NA	NA	NA	NA	FX437401.1	NA	NA	NA	c59086_g1_i3	NA	NA	NA	comp230793_c0_seq1
XP_015760508.1	GASU01014892.1	adi_EST_assem_2323	NA	NA	c007900	Locus_15472_Transcript_1/1_Confidence_1.0_Length_1349	Contig_14021	isotig12169	comp4991_c0_seq1	comp151722_c0_seq1	comp16451_c0_seq7	jgi|Nemve1|167818|estExt_gwp.C_930087	NA	NA	FX445547.1	Unigene136220_Mix_Normal_N	c4248_g1_i1	NA	c58674_g6_i6	comp7028_c0_seq1	comp1416_c0_seq1	NA	comp245476_c0_seq1
XP_015761108.1	GASU01004493.1	adi_EST_assem_4071	NA	NA	c014684	NA	Contig_37840	isotig05149	NA	comp224074_c0_seq1	comp123186_c0_seq1	NA	NA	NA	NA	NA	c17147_g1_i1	NA	c55742_g1_i1	NA	comp140194_c0_seq1	Spi_isotig08703	comp254342_c0_seq1
XP_015761377.1	GASU01040664.1	NA	NA	NA	c025179	NA	Contig_651	isotig13845	NA	comp8686_c0_seq1	comp20189_c0_seq1	jgi|Nemve1|230451|fgenesh1_pm.scaffold_190000004	comp56094_c0_seq1	isotig14335	FX452040.1	Unigene133576_Mix_Normal_N	c6873_g1_i1	NA	c53919_g1_i3	comp9658_c0_seq1	comp19977_c0_seq1	Spi_isotig14003	comp198819_c0_seq1
XP_015760945.1	GASU01080661.1	NA	comp19358_c0_seq1	NA	c000032p	Locus_183_Transcript_3/4_Confidence_1.0_Length_3872	Contig_11478	NA	NA	NA	comp6532_c0_seq8	NA	comp45834_c0_seq2	NA	NA	Unigene46009_Mix_Normal_N	NA	NA	NA	comp11466_c0_seq1	NA	NA	comp260566_c0_seq2
XP_015761557.1	GASU01015112.1	adi_EST_assem_7164	NA	NA	c004681	NA	Contig_14161	NA	comp28829_c0_seq1	NA	comp20509_c0_seq1	NA	NA	NA	FX452453.1	Unigene19629_Mix_Normal_N	NA	NA	c62093_g5_i2	NA	NA	NA	comp261552_c1_seq7
XP_015761862.1	GASU01084804.1	NA	NA	NA	c003352p	Locus_84_Transcript_2/9_Confidence_1.0_Length_1736	Contig_31860	NA	comp684_c0_seq1	comp9345_c0_seq1	comp8192_c0_seq1	jgi|Nemve1|241193|estExt_fgenesh1_pg.C_410069	comp45479_c0_seq1	NA	NA	NA	NA	bu_91849.1_c3297	c51984_g2_i1	NA	NA	Spi_isotig06105	comp248508_c0_seq1
XP_015762120.1	NA	NA	NA	NA	NA	NA	NA	isotig11367	NA	NA	NA	jgi|Nemve1|244954|estExt_fgenesh1_pg.C_1400002	NA	isotig06440	NA	NA	NA	bu_91849.1_c7507	NA	NA	NA	Spi_isotig06065	NA
XP_015762274.1	GASU01014548.1	adi_EST_assem_1406	comp7002_c0_seq1	NA	c002471	NA	Contig_30759	NA	comp5528_c0_seq1	comp24106_c0_seq2	NA	jgi|Nemve1|130720|e_gw.284.5.1	comp32010_c0_seq1	NA	FX490210.1	NA	NA	bu_91849.1_c186	c52692_g1_i5	comp88188_c0_seq1	comp13323_c0_seq1	Spi_isotig05226	NA
XP_015762811.1	GASU01083946.1	adi_EST_assem_8583	comp30816_c0_seq1	contig169845	c009108p	NA	Contig_4015	isotig05162	NA	comp14127_c0_seq1	comp38455_c0_seq2	jgi|Nemve1|244977|estExt_fgenesh1_pg.C_1410004	comp34214_c0_seq1	isotig03908	FX801419.1	Unigene25427_Mix_Normal_N	NA	NA	c56705_g1_i1	comp157231_c0_seq1	NA	NA	NA
XP_015780340.1	GASU01070731.1	adi_EST_assem_16489	NA	NA	c031295	NA	Contig_40225	isotig15158	NA	comp48304_c0_seq1	comp300284_c0_seq1	NA	NA	isotig11919	FX448019.1	Unigene20229_Mix_Normal_N	c12620_g1_i1	bu_91849.1_c1541	c46413_g2_i1	comp33955_c0_seq1	comp20375_c0_seq1	Spi_isotig03275	NA
XP_015763098.1	GASU01039898.1	adi_EST_assem_16419	comp50593_c0_seq1	NA	c006007p	Locus_12296_Transcript_1/1_Confidence_1.0_Length_1204	Contig_20873	isotig13764	comp122620_c0_seq1	comp14647_c0_seq1	comp3504_c0_seq1	jgi|Nemve1|136839|e_gw.384.23.1	comp31761_c0_seq2	isotig05640	FX465529.1	Unigene20555_Mix_Normal_N	c7044_g1_i1	bu_91849.1_c17853	c26885_g1_i1	comp7998_c0_seq1	comp39564_c0_seq1	Spi_isotig02267	comp205042_c0_seq1
XP_015763539.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp11950_c0_seq3	NA	NA	NA	NA	NA	NA	NA	NA	c40583_g1_i2	NA	comp3637_c0_seq2	Spi_isotig00738	comp225370_c0_seq4
XP_015763471.1	GASU01015495.1	adi_EST_assem_16364	NA	NA	c008473	NA	Contig_2521	NA	NA	comp11950_c0_seq5	comp41085_c0_seq1	NA	comp32361_c0_seq1	NA	FX452691.1	NA	c9545_g1_i1	bu_91849.1_c18664	c40583_g1_i1	NA	NA	Spi_isotig00737	comp225370_c0_seq3
XP_015763381.1	GASU01091940.1	NA	NA	NA	c005772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c29279_g1_i3	NA	NA	NA	comp262205_c0_seq22
XP_015764264.1	GASU01012569.1	adi_EST_assem_10076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c54981_g2_i18	NA	NA	NA	comp263049_c0_seq14
XP_015764456.1	GASU01083793.1	adi_EST_assem_700	NA	NA	c008657	Locus_126_Transcript_1/1_Confidence_1.0_Length_2521	NA	NA	comp2076_c0_seq1	NA	NA	jgi|Nemve1|236066|estExt_fgenesh1_pm.C_3840001	comp46684_c0_seq1	NA	FX457318.1	NA	NA	NA	c57137_g1_i2	NA	NA	NA	comp261333_c0_seq3
XP_015764825.1	NA	adi_EST_assem_14431	NA	NA	c010012	NA	Contig_21170	isotig09094	NA	comp70117_c0_seq1	NA	jgi|Nemve1|136840|e_gw.384.4.1	NA	NA	NA	NA	NA	NA	c54364_g1_i4	comp52368_c0_seq1	NA	NA	comp250612_c0_seq2
XP_015765138.1	GASU01040849.1	adi_EST_assem_15373	NA	NA	c015321	Locus_11531_Transcript_1/2_Confidence_1.0_Length_858	Contig_40297	isotig11386	NA	NA	NA	jgi|Nemve1|136849|e_gw.384.35.1	NA	NA	FX450350.1	Unigene124196_Mix_Normal_N	NA	NA	c51840_g1_i1	comp1376_c0_seq1	comp29344_c0_seq1	Spi_isotig05707	comp249085_c0_seq1
XP_015765485.1	GASU01094993.1	adi_EST_assem_11997	NA	NA	c017444	NA	Contig_17027	NA	NA	comp8149_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	c51345_g1_i1	comp46570_c0_seq1	NA	NA	NA
XP_015765425.1	NA	NA	NA	NA	NA	NA	NA	NA	comp1363_c0_seq2	NA	comp17254_c0_seq1	jgi|Nemve1|236873|estExt_fgenesh1_kg.C_630006	NA	NA	FX468355.1	NA	NA	NA	NA	NA	NA	Spi_isotig09564	NA
XP_015765033.1	NA	NA	NA	NA	NA	Locus_2_Transcript_2/5_Confidence_1.0_Length_1721	Contig_9307	NA	comp73994_c0_seq1	NA	NA	NA	comp40245_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015765321.1	GASU01094336.1	NA	NA	NA	c004581p	Locus_5791_Transcript_1/1_Confidence_1.0_Length_1282	Contig_36409	NA	comp186681_c0_seq1	comp8395_c0_seq1	comp145379_c0_seq1	jgi|Nemve1|235176|estExt_fgenesh1_pm.C_1010011	NA	NA	NA	NA	NA	NA	NA	comp59223_c0_seq1	comp109224_c0_seq1	NA	comp247518_c0_seq4
XP_015764926.1	NA	NA	NA	NA	NA	NA	Contig_36105	NA	NA	NA	NA	jgi|Nemve1|209135|fgenesh1_pg.scaffold_101000062	NA	NA	FX491454.1	NA	NA	NA	c60158_g1_i1	NA	NA	NA	comp258236_c0_seq2
XP_015751291.1	GASU01084988.1	adi_EST_assem_5400	comp30229_c0_seq1	NA	NA	Locus_15310_Transcript_1/1_Confidence_1.0_Length_1432	Contig_18006	NA	comp4051_c0_seq1	NA	comp27811_c0_seq1	jgi|Nemve1|229673|fgenesh1_pm.scaffold_93000013	comp43230_c0_seq1	NA	FX448781.1	Unigene15760_Mix_Normal_N	NA	NA	c58122_g3_i2	comp14171_c0_seq1	comp12688_c0_seq1	Spi_isotig06131	comp246839_c0_seq1
XP_015766522.1	NA	NA	NA	NA	c003058	Locus_52_Transcript_2/41_Confidence_1.0_Length_2864	NA	NA	NA	comp9723_c0_seq6	NA	NA	NA	NA	FX476353.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015766628.1	GASU01015854.1	adi_EST_assem_7914	comp2788_c0_seq1	contig201665	c020450	Locus_7322_Transcript_3/3_Confidence_1.0_Length_1026	Contig_16808	isotig11626	NA	comp2662_c0_seq1	comp1863_c0_seq1	jgi|Nemve1|109978|e_gw.97.1.1	comp41203_c0_seq1	NA	NA	Unigene47127_Mix_Normal_N	NA	bu_91849.1_c1308	c58083_g2_i2	comp57519_c0_seq1	comp5505_c0_seq1	Spi_isotig06933	NA
XP_015766835.1	NA	adi_EST_assem_8317	NA	contig7520_171270_93307	c021064	NA	Contig_1734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp8442_c0_seq1	NA	NA	NA
XP_015766727.1	NA	NA	comp6008_c0_seq1	contig4073_75996_107226_77540	c006207	NA	NA	NA	NA	comp31778_c0_seq1	comp55847_c0_seq1	jgi|Nemve1|94651|e_gw.37.91.1	comp44323_c0_seq1	NA	FX490351.1	NA	NA	NA	c54017_g1_i1	NA	NA	NA	comp259806_c0_seq2
XP_015752452.1	NA	adi_EST_assem_17300	comp50975_c0_seq1	contig174594	c011522	Locus_14323_Transcript_1/1_Confidence_1.0_Length_834	Contig_38790	NA	NA	comp28229_c0_seq1	NA	NA	NA	isotig06498	FX442134.1	NA	NA	bu_91849.1_lrc60709	c56013_g1_i1	comp20604_c0_seq3	NA	Spi_isotig09774	comp245740_c0_seq1
XP_015752558.1	GASU01085263.1	adi_EST_assem_3008	comp4343_c4_seq5	NA	c003678	Locus_9292_Transcript_1/1_Confidence_1.0_Length_3807	Contig_2077	NA	comp13705_c0_seq4	comp30885_c0_seq2	NA	NA	NA	NA	FX453023.1	NA	NA	NA	c60095_g1_i1	NA	NA	NA	comp263001_c1_seq10
XP_015767281.1	GASU01087094.1	adi_EST_assem_11638	NA	NA	c001555p	NA	Contig_3046	isotig09121	NA	NA	comp142282_c0_seq1	jgi|Nemve1|171986|estExt_gwp.C_1970002	NA	NA	FX474884.1	NA	NA	NA	c61257_g3_i1	comp12588_c0_seq1	NA	Spi_isotig05152	comp253995_c0_seq1
XP_015767382.1	NA	NA	NA	NA	c001382	Locus_1123_Transcript_1/2_Confidence_1.0_Length_4349	NA	NA	comp4256_c0_seq1	NA	NA	NA	NA	NA	FX447674.1	NA	NA	NA	c60804_g1_i4	NA	NA	NA	comp250458_c0_seq1
XP_015767860.1	NA	NA	NA	NA	c008813	NA	NA	NA	comp70321_c0_seq1	NA	comp27275_c0_seq2	NA	comp40904_c0_seq1	NA	FX463797.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015768194.1	GASU01031204.1	adi_EST_assem_323	comp1167_c0_seq2	contig152085	c013260	NA	Contig_529	isotig10447	comp2586_c0_seq3	NA	NA	jgi|Nemve1|101975|e_gw.62.163.1	comp38896_c0_seq1	isotig03488	FX437073.1	Unigene17535_Mix_Normal_N	NA	bu_91849.1_lrc56095	c59070_g2_i1	comp2545_c0_seq1	NA	Spi_isotig02528	comp260440_c0_seq11
XP_015768364.1	NA	NA	NA	NA	c007066	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX490355.1	NA	NA	NA	c57669_g1_i1	NA	NA	NA	comp259683_c0_seq4
XP_015768647.1	GASU01069994.1	adi_EST_assem_4999	NA	NA	c002223	NA	NA	NA	NA	NA	comp43020_c0_seq2	NA	NA	NA	FX437020.1	NA	NA	NA	c61527_g1_i1	NA	NA	NA	comp260027_c0_seq1
XP_015769042.1	NA	adi_EST_assem_4458	NA	NA	c003127	NA	NA	NA	comp29021_c0_seq1	NA	NA	NA	NA	NA	FX452914.1	NA	NA	NA	NA	NA	NA	NA	comp260315_c0_seq1
XP_015753267.1	NA	NA	comp2401_c0_seq1	contig51941	NA	NA	NA	NA	NA	NA	comp22397_c0_seq1	NA	comp29111_c0_seq1	NA	FX480093.1	NA	NA	bu_91849.1_c57838	c58025_g3_i4	NA	comp28494_c0_seq1	Spi_isotig08617	NA
XP_015755433.1	GASU01074111.1	adi_EST_assem_13671	NA	NA	c034137	NA	Contig_17364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015770114.1	GASU01085624.1	NA	NA	NA	c001991	NA	Contig_37376	NA	NA	NA	NA	NA	comp26357_c0_seq1	NA	FX455967.1	NA	NA	NA	c47833_g1_i1	NA	NA	NA	comp258575_c0_seq3
XP_015770313.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp90394_c0_seq1	NA	NA	Unigene150710_Mix_Normal_N	NA	bu_91849.1_c47775	NA	comp21852_c0_seq1	NA	NA	NA
XP_015770822.1	GASU01079711.1	adi_EST_assem_9882	comp39538_c0_seq1	NA	c022290	NA	Contig_36738	NA	NA	comp29632_c0_seq2	comp56879_c0_seq1	NA	NA	NA	FX463560.1	Unigene97791_Mix_Normal_N	c12302_g1_i2	NA	c56727_g1_i1	NA	comp78124_c0_seq1	Spi_isotig09787	NA
XP_015771105.1	NA	adi_EST_assem_4644	comp7271_c0_seq1	NA	c015489	NA	Contig_36931	NA	comp9512_c0_seq2	NA	NA	jgi|Nemve1|86594|e_gw.13.66.1	comp42299_c0_seq1	isotig03380	FX504319.1	NA	NA	NA	c56489_g1_i2	comp17349_c0_seq1	NA	Spi_isotig05625	comp256681_c0_seq3
XP_015771302.1	NA	NA	NA	NA	c002819	NA	Contig_2014	NA	NA	NA	comp37316_c0_seq1	NA	NA	NA	NA	NA	c13455_g1_i1	NA	c56336_g1_i2	NA	NA	NA	comp235963_c0_seq1
XP_015771754.1	NA	adi_EST_assem_10005	comp2151_c12_seq174	NA	c002601m	NA	Contig_18925	NA	NA	comp74552_c0_seq1	comp112218_c0_seq1	jgi|Nemve1|247274|estExt_fgenesh1_pg.C_2860020	NA	NA	FX469249.1	Unigene6244_Mix_Normal_N	c3915_g1_i1	NA	c42276_g1_i1	comp28667_c0_seq1	NA	Spi_isotig08366	comp255266_c0_seq3
XP_015771991.1	GASU01015447.1	adi_EST_assem_798	NA	NA	c002271	NA	Contig_11917	NA	comp45966_c0_seq1	comp24654_c0_seq1	comp14588_c0_seq1	jgi|Nemve1|189007|estExt_GenewiseH_1.C_1330057	NA	NA	FX447740.1	NA	c9765_g1_i2	bu_91849.1_c22447	c53229_g3_i1	comp23050_c0_seq1	NA	Spi_isotig06540	comp232632_c0_seq1
XP_015772450.1	NA	NA	NA	NA	c015156	NA	NA	NA	comp44067_c0_seq1	comp105049_c0_seq1	NA	NA	NA	NA	FX491778.1	NA	NA	NA	c8176_g1_i1	NA	NA	NA	comp244558_c0_seq48
XP_015753907.1	GASU01042335.1	NA	NA	NA	c019262	Locus_10863_Transcript_1/1_Confidence_1.0_Length_1165	NA	NA	comp63465_c0_seq1	comp30958_c0_seq1	NA	jgi|Nemve1|110650|e_gw.101.61.1	NA	NA	FX452437.1	NA	NA	NA	c53621_g1_i1	comp76050_c0_seq1	NA	NA	comp231178_c0_seq57
XP_015773851.1	GASU01004616.1	adi_EST_assem_366	NA	contig69412	c017088	NA	Contig_14188	isotig10018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015774121.1	NA	NA	NA	NA	NA	NA	NA	NA	comp118958_c0_seq1	NA	comp265936_c0_seq1	NA	NA	NA	NA	Unigene104785_Mix_Normal_N	NA	NA	c57140_g1_i4	NA	NA	NA	NA
XP_015774425.1	GASU01069885.1	NA	NA	NA	c023947	NA	NA	NA	comp46570_c0_seq1	NA	NA	jgi|Nemve1|240906|estExt_fgenesh1_pg.C_370005	comp43570_c0_seq1	NA	FX476258.1	Unigene134971_Mix_Normal_N	NA	NA	c60579_g7_i1	comp7414_c0_seq2	NA	Spi_isotig09274	NA
XP_015774886.1	NA	adi_EST_assem_21095	NA	NA	c005596	NA	Contig_310	NA	comp105353_c0_seq2	NA	comp74813_c0_seq1	jgi|Nemve1|41031|gw.349.39.1	NA	NA	FX470660.1	NA	NA	NA	c56049_g1_i1	comp1425_c0_seq1	NA	NA	comp239319_c0_seq1
XP_015754544.1	GASU01031186.1	adi_EST_assem_5199	comp4189_c0_seq2	NA	c023941	Locus_1174_Transcript_1/7_Confidence_1.0_Length_698	Contig_35363	NA	comp1060_c0_seq2	comp708_c0_seq1	comp6023_c0_seq1	jgi|Nemve1|79473|e_gw.1.761.1	comp32552_c0_seq1	isotig06137	FX502847.1	Unigene45344_Mix_Normal_N	NA	bu_91849.1_lrc66365	c47476_g1_i1	comp1826_c0_seq1	comp399_c1_seq1	Spi_isotig09021	comp262444_c1_seq6
XP_015774987.1	GASU01026350.1	adi_EST_assem_12036	NA	NA	c018543	NA	Contig_26467	NA	NA	comp184325_c0_seq1	comp80944_c0_seq2	jgi|Nemve1|236643|estExt_fgenesh1_kg.C_330006	NA	isotig05425	FX447509.1	Unigene19492_Mix_Normal_N	c17049_g3_i2	bu_91849.1_c20307	c58753_g2_i2	comp28671_c0_seq1	NA	Spi_isotig00915	comp242569_c0_seq2
XP_015775164.1	NA	NA	NA	NA	c021252	NA	Contig_21241	NA	NA	comp223596_c0_seq1	NA	NA	NA	NA	FX461692.1	NA	NA	bu_91849.1_c25121	NA	NA	NA	NA	NA
XP_015775258.1	GASU01040879.1	NA	NA	contig144900	c008406p	NA	NA	NA	NA	NA	comp27028_c0_seq1	NA	comp44424_c0_seq1	NA	FX447675.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015775774.1	GASU01041126.1	adi_EST_assem_713	NA	NA	c007720	NA	Contig_41017	NA	NA	NA	NA	jgi|Nemve1|202709|fgenesh1_pg.scaffold_37000084	comp41443_c0_seq1	NA	FX437551.1	NA	NA	NA	c61868_g1_i2	comp29133_c0_seq1	NA	Spi_isotig01674	comp262522_c0_seq9
XP_015775645.1	GASU01020725.1	NA	NA	NA	c011692	NA	NA	isotig11406	comp78958_c0_seq1	comp54524_c0_seq1	comp96149_c0_seq1	NA	NA	NA	FX445591.1	NA	NA	NA	c56257_g1_i1	NA	NA	NA	comp111124_c0_seq2
XP_015776438.1	GASU01080573.1	adi_EST_assem_3394	NA	NA	c015356	NA	NA	NA	NA	NA	comp12871_c0_seq1	NA	comp27996_c0_seq1	NA	NA	NA	NA	NA	c46719_g1_i1	NA	NA	NA	NA
XP_015776664.1	GASU01030884.1	adi_EST_assem_9499	NA	NA	c008313m	Locus_8948_Transcript_2/3_Confidence_1.0_Length_1052	NA	isotig15110	comp31921_c0_seq3	comp13869_c0_seq2	NA	jgi|Nemve1|187212|estExt_GenewiseH_1.C_970127	comp43535_c0_seq1	isotig03263	FX436054.1	CL93.Contig3_Mix_Normal_N	NA	bu_91849.1_lrc64271	c56000_g1_i2	comp11138_c0_seq2	comp2303_c0_seq1	Spi_isotig05963	NA
XP_015755064.1	NA	adi_EST_assem_8253	NA	NA	c004624p	NA	Contig_17302	NA	comp72608_c0_seq1	NA	comp10454_c0_seq2	jgi|Nemve1|185634|estExt_GenewiseH_1.C_730201	comp44695_c0_seq1	NA	FX435952.1	NA	NA	NA	c56124_g1_i1	comp80661_c0_seq1	NA	NA	comp249115_c0_seq9
XP_015776910.1	NA	NA	NA	NA	c003324	NA	NA	NA	comp21452_c1_seq1	NA	comp16931_c0_seq2	NA	NA	NA	FX504193.1	NA	NA	NA	NA	NA	NA	NA	comp233332_c0_seq1
XP_015777329.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp14759_c0_seq7	NA	NA	NA	NA	FX464892.1	NA	NA	NA	c164617_g1_i1	comp66448_c0_seq1	NA	NA	NA
XP_015777223.1	GASU01080186.1	NA	NA	NA	c014536	Locus_90801_Transcript_1/1_Confidence_1.0_Length_770	Contig_6101	NA	comp175272_c0_seq1	NA	comp247017_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015777692.1	NA	adi_EST_assem_8258	NA	NA	c034631	Locus_8030_Transcript_1/2_Confidence_1.0_Length_1092	Contig_2471	isotig06242	comp9552_c0_seq1	comp37142_c0_seq1	comp30084_c0_seq5	jgi|Nemve1|185620|estExt_GenewiseH_1.C_730180	comp3177_c0_seq1	NA	NA	Unigene140158_Mix_Normal_N	c6458_g1_i1	NA	c49888_g1_i1	comp5611_c0_seq2	comp19282_c0_seq1	Spi_isotig12525	comp242150_c0_seq7
XP_015777592.1	GASU01080324.1	adi_EST_assem_8295	NA	NA	c007186	Locus_10003_Transcript_1/1_Confidence_1.0_Length_1478	Contig_14825	isotig11665	NA	comp32426_c0_seq2	NA	NA	comp41044_c0_seq1	NA	NA	Unigene22136_Mix_Normal_N	c14200_g1_i1	NA	c57483_g2_i1	comp183572_c0_seq1	comp5556_c0_seq1	Spi_isotig05392	comp234755_c0_seq1
XP_015749838.1	GASU01004435.1	adi_EST_assem_3867	NA	NA	c004797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp260916_c1_seq9
