AdigNCBI_PRO	Acervicorn_PRO	Adigitifer_PRO	Aelegantis_PRO	Ahyacinthu_PRO	Amillepora_PRO	Apallida_PRO	Apalmata_PRO	Atenuis_PRO	Fscutaria_PRO	Mauretenra_PRO	Mcavernosa_PRO	Nvectensis_PRO	Ofaveolata_PRO	Pastreoide_PRO	Paustralie_PRO	Pcarnosus_PRO	Pdaedalea_PRO	Pdamicorni_PRO	Plobata_PRO	Pstrigosa_PRO	Shystrix_PRO	Spistillat_PRO	Ssiderea_PRO
XP_015778388.1	GASU01084879.1	adi_EST_assem_801	NA	NA	c000524	NA	NA	NA	comp10645_c0_seq1	NA	NA	NA	NA	NA	FX451856.1	NA	NA	NA	NA	comp8158_c0_seq1	comp4256_c0_seq2	NA	NA
XP_015758013.1	NA	adi_EST_assem_551	NA	NA	c000119	NA	NA	NA	comp20246_c0_seq1	NA	NA	jgi|Nemve1|107177|e_gw.85.10.1	NA	NA	FX436465.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015768334.1	NA	NA	NA	NA	NA	NA	NA	NA	comp5262_c0_seq7	NA	NA	jgi|Nemve1|20161|gw.67.8.1	comp46551_c0_seq1	NA	FX458254.1	NA	NA	NA	c62336_g1_i2	NA	NA	NA	NA
XP_015758093.1	NA	NA	comp47351_c0_seq1	NA	c002835p	Locus_14037_Transcript_1/2_Confidence_1.0_Length_1160	Contig_14923	NA	NA	comp130846_c0_seq2	NA	jgi|Nemve1|82630|e_gw.6.103.1	NA	NA	NA	NA	NA	bu_91849.1_lrc17892	NA	NA	NA	NA	NA
XP_015760891.1	GASU01031046.1	adi_EST_assem_1360	NA	NA	c008569	Locus_5140_Transcript_2/4_Confidence_1.0_Length_2042	Contig_5487	isotig09307	comp3981_c0_seq1	comp21677_c0_seq2	NA	jgi|Nemve1|193205|estExt_GenewiseH_1.C_2800055	NA	NA	FX473041.1	Unigene24525_Mix_Normal_N	c6386_g1_i1	bu_91849.1_c7493	c61291_g3_i1	NA	NA	Spi_isotig05269	comp259153_c1_seq8
XP_015753849.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp29041_c0_seq1	comp23712_c0_seq1	NA	NA	NA	FX459947.1	NA	NA	bu_91849.1_c19377	c57702_g3_i1	comp16698_c0_seq1	NA	NA	comp260783_c0_seq3
XP_015780366.1	GASU01041681.1	adi_EST_assem_3880	NA	NA	c011615	NA	Contig_13026	NA	NA	NA	comp21755_c0_seq1	jgi|Nemve1|186693|estExt_GenewiseH_1.C_880258	NA	NA	NA	NA	NA	NA	c55510_g1_i1	NA	NA	NA	NA
XP_015757383.1	GASU01085294.1	NA	comp53426_c0_seq1	NA	c012255	Locus_15553_Transcript_1/1_Confidence_1.0_Length_1603	Contig_17143	isotig09200	comp39848_c0_seq1	comp46174_c0_seq1	comp20120_c0_seq1	NA	comp46766_c0_seq36	NA	FX802343.1	Unigene73526_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015765432.1	NA	adi_EST_assem_1173	NA	NA	NA	NA	Contig_12297	NA	NA	comp216421_c0_seq1	NA	NA	NA	NA	FX438445.1	NA	NA	NA	NA	NA	NA	Spi_isotig06220	NA
XP_015779015.1	NA	NA	NA	NA	c019114	NA	NA	isotig10728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015762312.1	NA	adi_EST_assem_15927	NA	NA	c003633	NA	NA	NA	comp14324_c0_seq1	NA	NA	NA	NA	NA	FX436916.1	Unigene21487_Mix_Normal_N	NA	bu_91849.1_c20695	c54831_g1_i3	NA	NA	NA	comp250580_c0_seq2
XP_015762311.1	NA	NA	NA	contig60060	NA	NA	Contig_17680	NA	NA	NA	NA	NA	NA	NA	NA	Unigene113258_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015753616.1	NA	NA	NA	NA	c012098	NA	NA	NA	comp1811_c0_seq2	NA	comp1945_c1_seq1	NA	NA	NA	FX436511.1	NA	NA	bu_91849.1_lrc58281	c58436_g1_i2	NA	comp2651_c0_seq1	Spi_isotig05485	comp254219_c0_seq2
XP_015759688.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	jgi|Nemve1|202084|fgenesh1_pg.scaffold_32000096	NA	NA	NA	NA	c26406_g1_i1	NA	NA	NA	NA	NA	NA
XP_015756799.1	GASU01030534.1	adi_EST_assem_4378	NA	contig146708	c005506	NA	Contig_2452	NA	NA	NA	NA	NA	comp45460_c0_seq1	NA	FX437147.1	Unigene6040_Mix_Normal_N	NA	NA	c53686_g1_i3	NA	NA	Spi_isotig04763	NA
XP_015759685.1	NA	adi_EST_assem_299	NA	NA	c036756	Locus_3293_Transcript_6/8_Confidence_1.0_Length_1058	Contig_3646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c56065_g1_i1	NA	NA	Spi_isotig03566	NA
XP_015770533.1	GASU01040442.1	adi_EST_assem_7579	comp45307_c0_seq1	NA	c003975p	Locus_15724_Transcript_1/1_Confidence_1.0_Length_736	Contig_3199	NA	NA	comp28038_c0_seq1	NA	jgi|Nemve1|233669|fgsh_est.C_scaffold_353000003	comp44792_c0_seq8	NA	FX503356.1	NA	c13190_g1_i1	bu_91849.1_c18584	c53239_g1_i2	NA	NA	Spi_isotig05568	NA
XP_015754205.1	GASU01080861.1	adi_EST_assem_1704	NA	NA	c003523	NA	Contig_41235	NA	NA	NA	NA	NA	NA	NA	NA	NA	c16135_g1_i2	bu_91849.1_c4069	c57705_g1_i1	NA	NA	NA	comp263755_c0_seq5
XP_015759784.1	GASU01091678.1	adi_EST_assem_10599	NA	NA	NA	NA	Contig_9563	NA	NA	NA	NA	jgi|Nemve1|241397|estExt_fgenesh1_pg.C_440122	NA	NA	FX438233.1	Unigene110281_Mix_Normal_N	NA	NA	NA	NA	NA	Spi_isotig06642	comp260845_c0_seq5
XP_015754207.1	GASU01079703.1	adi_EST_assem_10757	NA	NA	c005001	NA	Contig_38227	NA	NA	NA	NA	NA	NA	NA	FX463100.1	NA	NA	NA	c55274_g1_i1	NA	NA	Spi_isotig05129	comp256557_c0_seq1
XP_015750460.1	GASU01030204.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp3939_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp1624_c0_seq4	NA	comp260582_c1_seq12
XP_015754608.1	NA	adi_EST_assem_8527	comp55868_c0_seq1	NA	c007220	Locus_4917_Transcript_2/4_Confidence_1.0_Length_1686	Contig_1220	isotig09291	NA	NA	NA	jgi|Nemve1|198796|fgenesh1_pg.scaffold_12000019	NA	NA	FX436561.1	CL731.Contig1_Mix_Normal_N	NA	bu_91849.1_c8778	c59077_g1_i4	NA	NA	Spi_isotig04810	comp246610_c0_seq1
XP_015753827.1	GASU01081233.1	adi_EST_assem_1145	NA	NA	c003145	NA	Contig_708	NA	NA	NA	NA	NA	NA	NA	FX437302.1	Unigene72504_Mix_Normal_N	NA	NA	c59100_g1_i1	NA	comp17657_c0_seq1	NA	comp260958_c0_seq3
XP_015756538.1	NA	adi_EST_assem_23198	NA	NA	c020135	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX443522.1	NA	NA	NA	c56032_g7_i1	NA	NA	NA	NA
XP_015757234.1	NA	adi_EST_assem_2446	comp26868_c0_seq2	NA	c016692	Locus_9138_Transcript_3/3_Confidence_1.0_Length_1061	Contig_1480	isotig11362	comp4058_c0_seq1	NA	NA	NA	comp44095_c0_seq1	isotig04171	FX502614.1	Unigene137342_Mix_Normal_N	c17444_g1_i2	NA	c60112_g1_i2	comp5432_c0_seq1	NA	Spi_isotig01854	comp254088_c0_seq2
XP_015747575.1	GASU01020058.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp5038_c0_seq2	NA	NA	isotig09918	FX447301.1	Unigene139909_Mix_Normal_N	NA	bu_91849.1_c32781	c54459_g1_i1	NA	NA	Spi_isotig01824	comp258738_c2_seq7
XP_015779917.1	NA	NA	NA	NA	NA	NA	NA	isotig09120	NA	NA	NA	NA	NA	NA	NA	NA	NA	bu_91849.1_c304	c61735_g2_i1	comp42589_c0_seq1	comp2458_c0_seq2	NA	NA
XP_015773919.1	GASU01085745.1	adi_EST_assem_334	NA	NA	c007475	NA	Contig_29835	NA	comp51037_c0_seq2	comp63251_c0_seq2	comp38333_c0_seq4	NA	NA	NA	FX451916.1	Unigene77283_Mix_Normal_N	NA	NA	c55995_g1_i4	comp37979_c0_seq2	NA	NA	NA
XP_015767244.1	NA	adi_EST_assem_1804	NA	NA	NA	NA	NA	NA	NA	comp11911_c0_seq2	NA	NA	comp34769_c0_seq1	NA	FX466687.1	NA	NA	NA	c54563_g1_i2	NA	NA	NA	NA
XP_015762180.1	NA	adi_EST_assem_3043	comp33727_c0_seq1	NA	c001755	NA	NA	NA	NA	NA	comp38691_c0_seq1	jgi|Nemve1|115547|e_gw.132.18.1	NA	NA	FX447855.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015762021.1	GASU01031112.1	adi_EST_assem_2986	NA	NA	c002312	Locus_3024_Transcript_1/5_Confidence_1.0_Length_2875	NA	NA	comp17946_c0_seq1	NA	NA	jgi|Nemve1|181204|estExt_GenewiseH_1.C_260104	NA	NA	FX458745.1	NA	NA	NA	c45476_g1_i1	NA	NA	NA	comp257880_c2_seq2
XP_015765803.1	NA	NA	NA	NA	NA	NA	NA	NA	comp28466_c0_seq1	NA	comp44864_c0_seq1	NA	NA	NA	FX468911.1	NA	NA	NA	NA	NA	NA	NA	comp259248_c1_seq4
XP_015780389.1	NA	adi_EST_assem_18792	NA	NA	c006845	NA	NA	NA	NA	NA	NA	jgi|Nemve1|83517|e_gw.7.39.1	NA	NA	FX452680.1	NA	NA	NA	c62218_g2_i3	NA	NA	NA	comp247955_c0_seq1
XP_015762155.1	GASU01085242.1	adi_EST_assem_8788	NA	NA	c002555m	NA	Contig_20922	isotig10548	comp16707_c0_seq1	NA	comp20564_c0_seq2	NA	NA	NA	FX503405.1	NA	NA	bu_91849.1_c18168	NA	comp793_c1_seq1	NA	Spi_isotig07299	NA
XP_015762237.1	GASU01014886.1	adi_EST_assem_9658	NA	NA	c019639	NA	Contig_19771	NA	NA	NA	comp6520_c0_seq2	NA	comp41200_c0_seq1	NA	NA	Unigene116392_Mix_Normal_N	c16323_g1_i2	NA	c47093_g1_i1	comp6160_c0_seq2	NA	NA	NA
XP_015752093.1	GASU01015042.1	NA	NA	NA	c014067	NA	Contig_5117	NA	comp9297_c0_seq1	NA	comp12670_c0_seq1	jgi|Nemve1|97888|e_gw.47.59.1	NA	NA	FX468194.1	Unigene17496_Mix_Normal_N	NA	bu_91849.1_c18446	c52993_g1_i1	comp15945_c0_seq1	comp10183_c0_seq1	Spi_isotig05834	comp245141_c2_seq8
XP_015762908.1	GASU01085536.1	adi_EST_assem_4927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX458538.1	NA	NA	NA	NA	NA	NA	NA	comp250933_c0_seq2
XP_015768095.1	GASU01015705.1	NA	NA	contig68345_167703_140211_178478_106978	c001790	NA	NA	NA	NA	NA	NA	NA	comp46608_c0_seq1	NA	NA	NA	NA	NA	c59424_g1_i2	NA	NA	NA	NA
XP_015768634.1	NA	NA	NA	NA	c000144p	NA	NA	NA	NA	NA	comp51572_c0_seq1	NA	NA	NA	FX471203.1	NA	NA	NA	c58983_g1_i2	NA	NA	NA	comp255587_c0_seq1
XP_015754549.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp45655_c0_seq2	NA	FX437037.1	Unigene68906_Mix_Normal_N	NA	NA	c59160_g2_i2	NA	NA	Spi_isotig04681	comp252896_c0_seq1
XP_015768674.1	NA	NA	NA	NA	c002255	NA	NA	NA	NA	NA	comp19737_c0_seq1	NA	NA	NA	FX469477.1	NA	NA	NA	c56972_g1_i1	NA	NA	NA	NA
XP_015760945.1	GASU01080661.1	NA	NA	NA	c000032p	Locus_183_Transcript_3/4_Confidence_1.0_Length_3872	Contig_11478	NA	NA	NA	comp6532_c0_seq8	NA	comp45834_c0_seq2	NA	NA	Unigene46009_Mix_Normal_N	NA	NA	NA	comp11466_c0_seq1	NA	NA	comp260566_c0_seq2
XP_015765485.1	GASU01094993.1	adi_EST_assem_11997	NA	NA	c017444	NA	Contig_17027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c51345_g1_i1	NA	NA	NA	NA
XP_015765425.1	NA	NA	NA	NA	NA	NA	NA	NA	comp1363_c0_seq2	NA	comp17254_c0_seq1	jgi|Nemve1|236873|estExt_fgenesh1_kg.C_630006	NA	NA	FX468355.1	NA	NA	NA	NA	NA	NA	Spi_isotig09564	NA
XP_015776282.1	NA	NA	NA	NA	c011605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unigene135846_Mix_Normal_N	NA	NA	c59302_g1_i6	NA	NA	NA	comp262086_c1_seq1
XP_015766680.1	NA	NA	NA	NA	NA	NA	NA	NA	comp19019_c0_seq1	NA	NA	jgi|Nemve1|236165|estExt_fgenesh1_pm.C_5410002	comp44482_c0_seq3	NA	NA	Unigene21740_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015757228.1	GASU01015319.1	adi_EST_assem_658	NA	NA	c006137	NA	NA	NA	NA	comp98155_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	c53665_g2_i1	NA	NA	NA	NA
XP_015764456.1	NA	adi_EST_assem_700	NA	NA	NA	Locus_126_Transcript_1/1_Confidence_1.0_Length_2521	NA	NA	NA	NA	NA	NA	comp46684_c0_seq1	NA	NA	NA	NA	NA	c57137_g1_i2	NA	NA	NA	comp261333_c0_seq3
XP_015756995.1	GASU01030692.1	adi_EST_assem_702	NA	NA	c012291	NA	Contig_18782	NA	NA	NA	NA	NA	NA	NA	FX450212.1	Unigene153088_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015756732.1	NA	NA	NA	NA	NA	Locus_1326_Transcript_1/5_Confidence_1.0_Length_2877	NA	NA	NA	NA	comp23044_c0_seq1	jgi|Nemve1|247614|estExt_fgenesh1_pg.C_3230003	NA	NA	FX460492.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015779994.1	GASU01015644.1	adi_EST_assem_6690	NA	NA	NA	NA	Contig_8720	isotig11747	comp15145_c0_seq3	NA	NA	jgi|Nemve1|190677|estExt_GenewiseH_1.C_1770064	comp10842_c0_seq1	isotig04751	FX494678.1	NA	NA	bu_91849.1_c18141	c54881_g1_i4	NA	NA	Spi_isotig04814	NA
XP_015771105.1	NA	adi_EST_assem_4644	comp7271_c0_seq1	NA	c015489	NA	Contig_36931	NA	comp9512_c0_seq2	NA	NA	jgi|Nemve1|86594|e_gw.13.66.1	comp42299_c0_seq1	isotig03380	FX504319.1	NA	NA	NA	c56489_g1_i2	NA	NA	Spi_isotig05625	comp256681_c0_seq3
XP_015772218.1	GASU01079699.1	adi_EST_assem_16517	NA	NA	c017750	Locus_9631_Transcript_1/1_Confidence_1.0_Length_1083	Contig_594	NA	NA	NA	NA	jgi|Nemve1|233007|fgsh_est.C_scaffold_117000002	NA	NA	FX436055.1	Unigene24454_Mix_Normal_N	NA	bu_91849.1_c6335	c54403_g1_i1	comp15799_c0_seq1	comp4295_c0_seq2	NA	comp254124_c0_seq2
XP_015773180.1	GASU01020212.1	NA	comp77215_c0_seq1	NA	c013496	NA	Contig_9681	NA	NA	comp3894_c0_seq1	NA	jgi|Nemve1|202525|fgenesh1_pg.scaffold_36000002	NA	NA	FX448754.1	NA	NA	NA	c56903_g1_i1	NA	NA	Spi_isotig09851	NA
XP_015768482.1	NA	NA	NA	NA	NA	Locus_12621_Transcript_1/2_Confidence_1.0_Length_1115	NA	NA	NA	NA	NA	NA	comp33689_c0_seq1	NA	NA	NA	NA	bu_91849.1_c17746	NA	NA	comp49430_c0_seq2	Spi_isotig07232	NA
XP_015752962.1	GASU01030645.1	NA	NA	NA	c005126	Locus_5859_Transcript_1/5_Confidence_1.0_Length_2705	Contig_12345	isotig09406	comp280_c13_seq225	comp1924_c1_seq13	NA	jgi|Nemve1|241029|estExt_fgenesh1_pg.C_380081	comp43714_c0_seq1	isotig04393	FX435962.1	NA	NA	NA	c54812_g1_i2	comp4338_c0_seq1	NA	Spi_isotig01752	comp249392_c0_seq9
XP_015768449.1	GASU01091863.1	adi_EST_assem_7931	NA	NA	c008078	NA	Contig_4730	NA	comp37603_c0_seq1	NA	comp84561_c0_seq1	jgi|Nemve1|100119|e_gw.55.184.1	NA	NA	FX461409.1	Unigene77297_Mix_Normal_N	c11698_g1_i1	NA	c56348_g1_i1	comp15106_c0_seq2	NA	NA	comp241566_c0_seq1
XP_015760184.1	NA	NA	NA	NA	NA	Locus_8242_Transcript_1/3_Confidence_1.0_Length_1669	NA	NA	NA	NA	NA	jgi|Nemve1|246363|estExt_fgenesh1_pg.C_2130032	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spi_isotig04785	NA
XP_015760180.1	NA	adi_EST_assem_8438	NA	contig150819	NA	NA	Contig_3499	isotig10466	NA	NA	NA	NA	NA	NA	FX438335.1	Unigene18775_Mix_Normal_N	c13380_g1_i1	NA	NA	NA	NA	NA	comp260946_c0_seq4
XP_015761593.1	NA	adi_EST_assem_1415	NA	NA	NA	NA	Contig_22370	NA	NA	NA	NA	jgi|Nemve1|244083|estExt_fgenesh1_pg.C_1080032	NA	NA	FX460112.1	NA	NA	NA	NA	NA	NA	NA	NA
XP_015754310.1	NA	NA	NA	NA	c000091	NA	NA	NA	comp10436_c0_seq18	NA	comp6651_c0_seq3	NA	NA	NA	NA	NA	NA	NA	c57628_g1_i1	NA	NA	NA	comp263078_c0_seq4
XP_015776369.1	NA	adi_EST_assem_7909	NA	NA	c000771	NA	NA	NA	NA	NA	NA	jgi|Nemve1|242007|estExt_fgenesh1_pg.C_550037	NA	NA	FX452195.1	Unigene17081_Mix_Normal_N	NA	NA	c55736_g2_i1	NA	NA	NA	comp240268_c0_seq1
XP_015752493.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp108928_c0_seq1	NA	NA	NA	NA	FX496803.1	NA	NA	NA	c57866_g1_i3	NA	NA	Spi_isotig02559	NA
XP_015757565.1	GASU01030908.1	NA	NA	NA	NA	Locus_123_Transcript_6/35_Confidence_1.0_Length_2474	Contig_24762	NA	NA	NA	NA	NA	comp46378_c0_seq1	NA	NA	Unigene126342_Mix_Normal_N	NA	NA	NA	NA	NA	NA	NA
XP_015756531.1	NA	adi_EST_assem_4073	NA	NA	c002006	NA	NA	NA	NA	NA	comp1986_c0_seq2	NA	comp46743_c0_seq1	NA	NA	NA	NA	NA	NA	comp2708_c0_seq1	NA	NA	NA
XP_015770190.1	GASU01041859.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX438114.1	NA	NA	NA	c62345_g2_i4	NA	NA	NA	NA
XP_015764561.1	NA	NA	comp19777_c0_seq1	NA	c008927	NA	Contig_13648	NA	NA	NA	NA	jgi|Nemve1|90575|e_gw.24.203.1	NA	NA	FX436944.1	Unigene17779_Mix_Normal_N	NA	NA	c57672_g1_i2	NA	NA	Spi_isotig02292	comp232796_c0_seq1
XP_015757769.1	GASU01013964.1	adi_EST_assem_9674	NA	NA	NA	Locus_16380_Transcript_1/1_Confidence_1.0_Length_1857	NA	isotig09915	NA	NA	NA	NA	NA	NA	FX475535.1	NA	NA	NA	c37816_g1_i1	comp119108_c0_seq2	comp58320_c0_seq1	NA	NA
XP_015757770.1	GASU01031311.1	adi_EST_assem_12852	comp50896_c0_seq1	NA	c003210	Locus_9517_Transcript_1/2_Confidence_1.0_Length_1989	Contig_27132	NA	NA	NA	NA	NA	comp12872_c0_seq1	NA	NA	Unigene153566_Mix_Normal_N	NA	NA	c59031_g1_i3	NA	NA	Spi_isotig04678	comp250538_c0_seq1
XP_015757778.1	NA	adi_EST_assem_9529	NA	NA	c006890	NA	Contig_30459	NA	comp56299_c0_seq1	NA	NA	NA	NA	NA	FX460016.1	NA	NA	NA	c54588_g1_i1	NA	NA	NA	NA
XP_015755687.1	GASU01070031.1	NA	comp172729_c0_seq1	NA	NA	NA	NA	isotig03317	NA	NA	NA	jgi|Nemve1|244849|estExt_fgenesh1_pg.C_1360020	NA	NA	FX462809.1	NA	NA	NA	c50668_g1_i3	comp51844_c0_seq1	NA	NA	comp247667_c0_seq1
XP_015770611.1	GASU01014581.1	adi_EST_assem_4075	comp6514_c0_seq1	NA	c014158	Locus_14948_Transcript_1/1_Confidence_1.0_Length_1878	Contig_3658	NA	NA	NA	comp9664_c0_seq1	jgi|Nemve1|247980|estExt_fgenesh1_pg.C_3850007	comp50342_c0_seq1	NA	FX439195.1	Unigene139591_Mix_Normal_N	NA	bu_91849.1_c2930	c54659_g1_i1	comp5982_c0_seq1	NA	Spi_isotig05633	comp230033_c0_seq1
XP_015756206.1	NA	adi_EST_assem_8562	NA	NA	c016239	NA	NA	isotig10416	NA	comp2335_c0_seq1	NA	NA	comp52072_c0_seq1	NA	NA	NA	NA	bu_91849.1_c17566	NA	comp10353_c0_seq1	comp7001_c0_seq1	Spi_isotig06724	NA
XP_015751101.1	GASU01092237.1	adi_EST_assem_11760	NA	NA	NA	NA	Contig_42231	NA	comp35809_c0_seq2	NA	comp44078_c0_seq2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
