abr	ko	entrez
aam	K03083	106497256
aam	K03094	106487187
aam	K03097	106485795
aam	K03097	106487805
aam	K03097	106487806
aam	K03097	106497386
aam	K03115	106491407
aam	K03209	106497501
aam	K03213	106483287
aam	K03347	106495275
aam	K03362	106484672
aam	K03362	106488073
aam	K03868	106488968
aam	K04345	106499821
aam	K04348	106492052
aam	K04348	106499981
aam	K04348	106498910
aam	K04377	106496220
aam	K04385	106493090
aam	K04392	106491345
aam	K04427	106489690
aam	K04440	106493457
aam	K04440	106496655
aam	K04440	106497812
aam	K04446	106500234
aam	K04448	106494500
aam	K04468	106498756
aam	K04490	106497459
aam	K04491	106483723
aam	K04492	106491833
aam	K04493	106499133
aam	K04494	106498857
aam	K04496	106486364
aam	K04496	106487161
aam	K04496	106484138
aam	K04498	106488223
aam	K04498	106482329
aam	K04499	106500276
aam	K04501	106494875
aam	K04503	106498229
aam	K04504	106487955
aam	K04505	106498263
aam	K04506	106483212
aam	K04507	106495776
aam	K04508	106490721
aam	K04508	106498536
aam	K04510	106489812
aam	K04510	106490669
aam	K04511	106488854
aam	K04511	106484153
aam	K04512	106495229
aam	K04512	106485529
aam	K04513	106491145
aam	K04515	106493448
aam	K04515	106494574
aam	K04515	106491995
aam	K04515	106498878
aam	K05858	106486714
aam	K05858	106490470
aam	K05858	106490480
aam	K06268	106495909
aam	K07860	106488354
aam	K07861	106487128
aam	K07861	106487129
aam	K08110	106499594
aam	K08957	106493456
aam	K08960	106488733
aam	K10151	106489562
aam	K10152	106483949
aam	K10162	106490029
aam	K16834	106491778
aam	K17388	106494758
aam	K19614	106487708
aam	K19626	106496963
aam	K19662	106486190
aam	K19882	106487122
acs	K00181	100567937
acs	K00182	100559857
acs	K00312	100555416
acs	K00312	100566878
acs	K00408	100567689
acs	K00444	100555653
acs	K00444	100562948
acs	K00445	100565609
acs	K00572	100567981
acs	K00572	100553258
acs	K00714	100558725
acs	K00714	100564473
acs	K01064	100554651
acs	K01064	100560587
acs	K01357	100562537
acs	K01357	100556196
acs	K01357	107982255
acs	K01384	100553134
acs	K01397	100553835
acs	K01558	100553645
acs	K01645	100558456
acs	K01691	100553712
acs	K02085	100559625
acs	K02085	100561377
acs	K02105	100566951
acs	K02157	100561864
acs	K02165	100557586
acs	K02165	100555233
acs	K02165	100563482
acs	K02166	100563691
acs	K02176	100563804
acs	K02176	100566264
acs	K02185	103279191
acs	K02222	100566157
acs	K02235	100557034
acs	K02329	100564418
acs	K02353	100553090
acs	K02353	100565717
acs	K02353	100554463
acs	K02353	103282927
acs	K02354	100565823
acs	K02375	100556214
acs	K02375	100561698
acs	K02376	100565631
acs	K02432	100557234
acs	K02432	100553922
acs	K02620	100554608
acs	K02677	100554897
acs	K02842	100555932
acs	K03068	100566277
acs	K03068	100554684
acs	K03083	100564023
acs	K03094	100568037
acs	K03097	100566597
acs	K03097	100564077
acs	K03097	100566912
acs	K03115	100566091
acs	K03209	100562340
acs	K03213	100560132
acs	K03345	100557880
acs	K03347	100563024
acs	K03347	100562987
acs	K03362	100566594
acs	K03362	100555677
acs	K03868	100566553
acs	K04345	100559138
acs	K04345	103279522
acs	K04348	100555622
acs	K04348	100552158
acs	K04348	100562089
acs	K04377	100558533
acs	K04385	100553926
acs	K04392	100561917
acs	K04427	100554725
acs	K04440	100565814
acs	K04440	100561907
acs	K04440	100558211
acs	K04446	100565300
acs	K04448	100567718
acs	K04451	103282543
acs	K04468	100560802
acs	K04468	100567618
acs	K04490	100553130
acs	K04491	100563899
acs	K04491	100561311
acs	K04492	100556215
acs	K04493	100551881
acs	K04494	100559811
acs	K04495	100558619
acs	K04496	100558730
acs	K04496	100565422
acs	K04496	100557253
acs	K04498	100566746
acs	K04498	100563301
acs	K04499	100567576
acs	K04501	100552093
acs	K04502	100552821
acs	K04503	100563772
acs	K04504	100552327
acs	K04505	100553615
acs	K04506	100555807
acs	K04507	100553570
acs	K04508	100564905
acs	K04508	100559453
acs	K04510	100565559
acs	K04510	100558511
acs	K04511	100560390
acs	K04511	100556833
acs	K04512	100562406
acs	K04512	100556655
acs	K04513	100566989
acs	K04513	100552508
acs	K04515	100563784
acs	K04515	100562492
acs	K04515	100554504
acs	K04515	100552004
acs	K05858	100560758
acs	K05858	100566853
acs	K05858	100567752
acs	K05858	100551754
acs	K06268	100561213
acs	K07860	100557692
acs	K07861	100568092
acs	K08110	100561731
acs	K08957	100556569
acs	K08960	100557587
acs	K10152	100566165
acs	K10162	100553667
acs	K10162	100554299
acs	K16834	100555145
acs	K17388	100562729
acs	K19614	100556536
acs	K19626	100566170
acs	K19662	103281881
acs	K19662	100565082
acs	K19663	100559682
acs	K19882	100564438
adf	K00182	107344835
adf	K00182	107344806
adf	K00312	107333353
adf	K00408	107334184
adf	K00408	107334186
adf	K00408	107334189
adf	K00408	107338955
adf	K00444	107339929
adf	K00445	107333377
adf	K00572	107332354
adf	K00572	107331291
adf	K00572	107338566
adf	K00714	107342226
adf	K00714	107341793
adf	K00714	107341795
adf	K01357	107333379
adf	K01558	107343837
adf	K01558	107330676
adf	K02085	107345376
adf	K02105	107347935
adf	K02157	107345943
adf	K02166	107334237
adf	K02353	107338504
adf	K02354	107342991
adf	K02375	107341728
adf	K02375	107357457
adf	K02375	107357461
adf	K02432	107345415
adf	K02677	107341602
adf	K02842	107342990
adf	K03068	107358151
adf	K03068	107345659
adf	K03068	107340287
adf	K03068	107340848
adf	K03068	107348152
adf	K03068	107347189
adf	K03068	107341221
adf	K03068	107339812
adf	K03068	107339847
adf	K03083	107338367
adf	K03094	107329145
adf	K03094	107328649
adf	K03094	107340886
adf	K03097	107345724
adf	K03097	107345725
adf	K03115	107332911
adf	K03209	107333378
adf	K03213	107357706
adf	K03347	107336444
adf	K03362	107351693
adf	K03868	107349974
adf	K04345	107358053
adf	K04348	107353402
adf	K04348	107353410
adf	K04377	107347303
adf	K04377	107347212
adf	K04377	107347213
adf	K04392	107327366
adf	K04392	107332675
adf	K04427	107335569
adf	K04440	107341807
adf	K04448	107336656
adf	K04448	107348109
adf	K04468	107341334
adf	K04491	107340855
adf	K04498	107348730
adf	K04498	107348731
adf	K04498	107351820
adf	K04499	107348205
adf	K04501	107335512
adf	K04501	107357814
adf	K04505	107338128
adf	K04506	107345438
adf	K04507	107347376
adf	K04508	107340909
adf	K04510	107357360
adf	K04512	107344809
adf	K04513	107340142
adf	K04513	107339201
adf	K04515	107326967
adf	K04515	107334073
adf	K04515	107358133
adf	K04515	107355490
adf	K04515	107343482
adf	K05858	107328601
adf	K05858	107341838
adf	K05858	107341839
adf	K06268	107355577
adf	K06268	107329095
adf	K08110	107333136
adf	K08957	107337822
adf	K08957	107357623
adf	K08957	107332167
adf	K08960	107351128
adf	K10151	107334967
adf	K10162	107356930
adf	K17388	107334472
adf	K19626	107344404
adf	K19626	107341827
adf	K19882	107334513
adf	K19882	107351639
adf	K19882	107357314
adf	K19882	107334960
aec	K00181	105152828
aec	K00444	105151721
aec	K00445	105150855
aec	K01357	105150856
aec	K01384	105146334
aec	K01691	105151512
aec	K02085	105148599
aec	K02085	105146750
aec	K02105	105153619
aec	K02157	105150595
aec	K02306	105153182
aec	K02353	105148755
aec	K02354	105150367
aec	K02375	105153294
aec	K02432	105149687
aec	K02677	105150950
aec	K02842	105148106
aec	K03068	105153162
aec	K03083	105152459
aec	K03094	105145463
aec	K03094	105144220
aec	K03097	105149257
aec	K03115	105149659
aec	K03209	105150858
aec	K03213	105145785
aec	K03347	105148148
aec	K03362	105152271
aec	K03868	105148347
aec	K04345	105151927
aec	K04348	105150512
aec	K04392	105146367
aec	K04392	105144636
aec	K04392	105149944
aec	K04427	105150983
aec	K04440	105148788
aec	K04448	105155106
aec	K04468	105144345
aec	K04491	105151104
aec	K04496	105153763
aec	K04497	105148509
aec	K04498	105146566
aec	K04499	105154424
aec	K04501	105151202
aec	K04505	105152156
aec	K04506	105153922
aec	K04507	105148799
aec	K04508	105152154
aec	K04510	105154020
aec	K04511	105153601
aec	K04512	105149326
aec	K04513	105148010
aec	K04515	105148855
aec	K05858	105143133
aec	K05858	105153332
aec	K05858	105153367
aec	K06268	105144936
aec	K08110	105147643
aec	K08957	105152632
aec	K08960	105145758
aec	K10151	105149790
aec	K10162	105143217
aec	K19882	105150062
aga	K00181	AgaP_AGAP007962
aga	K00444	AgaP_AGAP010290
aga	K00445	AgaP_AGAP009733
aga	K00572	AgaP_AGAP010283
aga	K01064	AgaP_AGAP009735
aga	K01357	AgaP_AGAP009731
aga	K01691	AgaP_AGAP000117
aga	K02105	AgaP_AGAP001043
aga	K02157	AgaP_AGAP002123
aga	K02306	AgaP_AGAP005799
aga	K02353	AgaP_AGAP004448
aga	K02354	AgaP_AGAP008871
aga	K02375	AgaP_AGAP010442
aga	K02432	AgaP_AGAP011379
aga	K02432	AgaP_AGAP011380
aga	K02677	AgaP_AGAP012252
aga	K03068	AgaP_AGAP011770
aga	K03083	AgaP_AGAP004443
aga	K03094	AgaP_AGAP008719
aga	K03097	AgaP_AGAP005569
aga	K03115	AgaP_AGAP011438
aga	K03209	AgaP_AGAP009734
aga	K03213	AgaP_AGAP009925
aga	K03347	AgaP_AGAP008007
aga	K03362	AgaP_AGAP001944
aga	K03868	AgaP_AGAP005202
aga	K04345	AgaP_AGAP001384
aga	K04345	AgaP_AGAP008039
aga	K04348	AgaP_AGAP001279
aga	K04377	AgaP_AGAP000646
aga	K04392	AgaP_AGAP005445
aga	K04392	AgaP_AGAP001573
aga	K04392	AgaP_AGAP003092
aga	K04427	AgaP_AGAP013516
aga	K04440	AgaP_AGAP009461
aga	K04440	AgaP_AGAP009460
aga	K04448	AgaP_AGAP006386
aga	K04468	AgaP_AGAP005898
aga	K04491	AgaP_AGAP012389
aga	K04496	AgaP_AGAP003893
aga	K04497	AgaP_AGAP004280
aga	K04498	AgaP_AGAP000029
aga	K04501	AgaP_AGAP002902
aga	K04505	AgaP_AGAP002957
aga	K04506	AgaP_AGAP006127
aga	K04507	AgaP_AGAP002107
aga	K04508	AgaP_AGAP007739
aga	K04510	AgaP_AGAP012288
aga	K04511	AgaP_AGAP007648
aga	K04513	AgaP_AGAP005160
aga	K04515	AgaP_AGAP000028
aga	K04690	AgaP_AGAP000168
aga	K05858	AgaP_AGAP009115
aga	K05858	AgaP_AGAP001936
aga	K06268	AgaP_AGAP004298
aga	K08110	AgaP_AGAP003559
aga	K08957	AgaP_AGAP000627
aga	K08960	AgaP_AGAP008476
aga	K10151	AgaP_AGAP012299
aga	K19882	AgaP_AGAP006073
aju	K00181	106989470
aju	K00182	106969623
aju	K00182	106970665
aju	K00312	106985206
aju	K00312	106988834
aju	K00444	106967018
aju	K00444	106965408
aju	K00572	106978815
aju	K00714	106966936
aju	K00714	106968544
aju	K01064	106985205
aju	K01064	106988831
aju	K01357	106970053
aju	K01357	106969331
aju	K01384	106976446
aju	K01397	106976492
aju	K01558	106970656
aju	K01645	106976831
aju	K01691	106981365
aju	K02085	106973163
aju	K02105	106966666
aju	K02157	106977359
aju	K02165	106990026
aju	K02165	106969515
aju	K02165	106984318
aju	K02166	106978395
aju	K02176	106982448
aju	K02185	106980650
aju	K02222	106966840
aju	K02235	106974284
aju	K02329	106983024
aju	K02353	106988759
aju	K02353	106983787
aju	K02353	106972415
aju	K02354	106967740
aju	K02375	106967100
aju	K02376	106980059
aju	K02432	106978285
aju	K02432	106987276
aju	K02620	106984911
aju	K02677	106975306
aju	K02842	106986936
aju	K02842	106980711
aju	K03068	106965642
aju	K03068	106971089
aju	K03083	106968274
aju	K03094	106984903
aju	K03097	106986007
aju	K03097	106977015
aju	K03115	106983967
aju	K03209	106969330
aju	K03213	106977675
aju	K03344	106966498
aju	K03345	106968024
aju	K03347	106981418
aju	K03362	106966878
aju	K03362	106989251
aju	K04345	106973352
aju	K04345	106985791
aju	K04348	106970974
aju	K04348	106982482
aju	K04348	106984696
aju	K04348	106981120
aju	K04377	106976895
aju	K04385	106975307
aju	K04392	106982604
aju	K04427	106983077
aju	K04440	106969894
aju	K04440	106970668
aju	K04440	106989581
aju	K04446	106977679
aju	K04448	106974986
aju	K04451	106972437
aju	K04468	106983267
aju	K04490	106978197
aju	K04491	106974119
aju	K04492	106983664
aju	K04493	106984921
aju	K04494	106971421
aju	K04495	106974060
aju	K04496	106978849
aju	K04496	106971722
aju	K04498	106978741
aju	K04498	106979918
aju	K04499	106986135
aju	K04501	106974966
aju	K04502	106971130
aju	K04503	106971167
aju	K04504	106972816
aju	K04505	106974447
aju	K04506	106985846
aju	K04506	106982593
aju	K04507	106968315
aju	K04508	106969400
aju	K04508	106973874
aju	K04510	106978542
aju	K04510	106969591
aju	K04511	106968824
aju	K04511	106978297
aju	K04512	106972778
aju	K04512	106974589
aju	K04513	106979239
aju	K04515	106968235
aju	K04515	106970983
aju	K04515	106985400
aju	K04515	106977318
aju	K05858	106968579
aju	K05858	106976431
aju	K05858	106976432
aju	K05858	106981698
aju	K06268	106967692
aju	K06268	106972076
aju	K07860	106981077
aju	K07861	106986311
aju	K08110	106981553
aju	K08957	106985401
aju	K08960	106981010
aju	K10151	106965383
aju	K10152	106974052
aju	K10162	106977358
aju	K17388	106977263
aju	K19614	106983211
aju	K19626	106972062
aju	K19662	106970449
aju	K19663	106980855
aju	K19882	106986308
ame	K00181	726113
ame	K00444	414037
ame	K00445	413501
ame	K00572	411919
ame	K01357	413500
ame	K01384	725511
ame	K01691	552805
ame	K02105	408399
ame	K02105	550976
ame	K02157	724501
ame	K02306	552545
ame	K02353	409050
ame	K02375	100576247
ame	K02432	551124
ame	K02677	406106
ame	K03068	551021
ame	K03083	408976
ame	K03094	409234
ame	K03097	409767
ame	K03115	551655
ame	K03209	413502
ame	K03213	724997
ame	K03347	410565
ame	K03362	551517
ame	K03362	100576156
ame	K03868	408691
ame	K04345	409791
ame	K04348	411046
ame	K04377	100576392
ame	K04392	551554
ame	K04392	552138
ame	K04392	552419
ame	K04427	413809
ame	K04440	409286
ame	K04448	726289
ame	K04468	410956
ame	K04491	726671
ame	K04496	409158
ame	K04497	408894
ame	K04498	726280
ame	K04499	409544
ame	K04501	409321
ame	K04505	413169
ame	K04506	410808
ame	K04507	412708
ame	K04508	410184
ame	K04510	551508
ame	K04511	410724
ame	K04512	409001
ame	K04513	409910
ame	K04515	551691
ame	K05858	408996
ame	K05858	408791
ame	K06268	551313
ame	K08110	552340
ame	K08957	410129
ame	K08960	412108
ame	K10151	413183
ame	K10162	724378
ame	K17388	100578506
ame	K19882	107963993
amj	K00181	102566547
amj	K00182	102569359
amj	K00182	102575620
amj	K00312	102563237
amj	K00312	106736642
amj	K00408	102573669
amj	K00408	102561676
amj	K00444	102574844
amj	K00444	102568211
amj	K00445	106737397
amj	K00572	102575772
amj	K00572	102568312
amj	K00714	102564241
amj	K00714	102576973
amj	K01064	102569365
amj	K01064	102567669
amj	K01357	102563189
amj	K01384	102569158
amj	K01384	102558673
amj	K01397	102564382
amj	K01558	102559691
amj	K01645	102565070
amj	K01691	102561125
amj	K02085	102567239
amj	K02085	102570878
amj	K02105	102573542
amj	K02157	102566966
amj	K02165	102573246
amj	K02165	102561425
amj	K02165	102571672
amj	K02166	102562741
amj	K02176	102565279
amj	K02176	102570445
amj	K02185	102564898
amj	K02222	102562156
amj	K02222	109284122
amj	K02235	102570331
amj	K02329	102573694
amj	K02353	102577127
amj	K02353	102570134
amj	K02353	106736875
amj	K02354	102558838
amj	K02375	102565515
amj	K02375	102558031
amj	K02376	106737187
amj	K02432	102566978
amj	K02432	106737147
amj	K02620	102576120
amj	K02677	102572836
amj	K02842	102559669
amj	K02842	102572450
amj	K03068	106736807
amj	K03068	102565598
amj	K03083	106737044
amj	K03094	102576679
amj	K03097	106737049
amj	K03097	102567583
amj	K03097	102564769
amj	K03115	102561512
amj	K03209	102559781
amj	K03213	102564155
amj	K03344	102563275
amj	K03345	102566527
amj	K03345	109285707
amj	K03347	102562508
amj	K03362	102569199
amj	K03362	102572700
amj	K03868	102571619
amj	K04345	102572143
amj	K04345	106737076
amj	K04348	102576759
amj	K04348	102576061
amj	K04348	102573328
amj	K04377	102561083
amj	K04385	102568792
amj	K04392	102576455
amj	K04427	102569201
amj	K04440	102570628
amj	K04440	102566087
amj	K04440	102570366
amj	K04446	102559296
amj	K04448	102566064
amj	K04451	102570618
amj	K04468	102575019
amj	K04490	102559656
amj	K04491	102558653
amj	K04492	102560337
amj	K04493	102563221
amj	K04494	102567273
amj	K04495	109285983
amj	K04496	102566458
amj	K04496	102562924
amj	K04496	106736889
amj	K04498	102571845
amj	K04498	106736758
amj	K04499	102560920
amj	K04501	102576984
amj	K04501	102572775
amj	K04502	109285043
amj	K04503	102563714
amj	K04504	106737250
amj	K04505	102558796
amj	K04506	102562469
amj	K04507	102573058
amj	K04508	102573599
amj	K04508	102558662
amj	K04510	102561246
amj	K04510	102568754
amj	K04511	106736677
amj	K04511	102566074
amj	K04512	102565751
amj	K04512	102570062
amj	K04513	102560127
amj	K04513	102563558
amj	K04515	102570318
amj	K04515	102564631
amj	K04515	102562159
amj	K04515	106736808
amj	K04515	109286050
amj	K05858	102572359
amj	K05858	102576994
amj	K05858	102566880
amj	K05858	102560430
amj	K05858	109282420
amj	K06268	106737480
amj	K07860	102567702
amj	K07861	102563759
amj	K08110	102559800
amj	K08957	102574718
amj	K08960	102570844
amj	K10151	102564576
amj	K10152	102560290
amj	K10162	102558701
amj	K16834	102557805
amj	K17388	102572451
amj	K19614	102572228
amj	K19626	102560593
amj	K19662	102572486
amj	K19663	102574559
amj	K19882	102568862
amj	K19882	102563041
aml	K00181	100473692
aml	K00182	100480237
aml	K00182	100481665
aml	K00312	100471555
aml	K00312	100473835
aml	K00408	100468584
aml	K00444	100484068
aml	K00444	100473854
aml	K00445	100467896
aml	K00572	100475153
aml	K00572	100474982
aml	K00714	100466672
aml	K00714	100481684
aml	K01064	100472460
aml	K01064	100475103
aml	K01357	100467643
aml	K01357	100475265
aml	K01384	100468561
aml	K01397	100480431
aml	K01558	100464171
aml	K01645	100478213
aml	K01691	100484613
aml	K02085	100472257
aml	K02085	100465768
aml	K02105	100477834
aml	K02157	100473018
aml	K02165	100466975
aml	K02165	100481257
aml	K02165	100471186
aml	K02166	100481836
aml	K02176	100465382
aml	K02185	100473337
aml	K02222	100482494
aml	K02235	100469249
aml	K02329	100468831
aml	K02353	100466067
aml	K02353	100471972
aml	K02353	100480005
aml	K02354	100470379
aml	K02375	100478649
aml	K02375	100467779
aml	K02376	100464621
aml	K02432	100469196
aml	K02432	109489608
aml	K02620	100476528
aml	K02677	100477326
aml	K02842	100479765
aml	K02842	100469765
aml	K03068	100473379
aml	K03068	100477840
aml	K03069	105236609
aml	K03083	100479224
aml	K03094	100463880
aml	K03097	100471788
aml	K03097	100479210
aml	K03115	100469386
aml	K03209	100475007
aml	K03213	100469227
aml	K03213	100484038
aml	K03344	100470714
aml	K03345	100476800
aml	K03347	100466596
aml	K03362	100470916
aml	K03362	100479018
aml	K03868	100469702
aml	K04345	100468252
aml	K04345	100469628
aml	K04348	100477289
aml	K04348	100467653
aml	K04348	100474970
aml	K04377	100464396
aml	K04385	100477069
aml	K04392	100465648
aml	K04427	100466506
aml	K04440	100477951
aml	K04440	100482196
aml	K04440	100477600
aml	K04446	100470861
aml	K04448	100483834
aml	K04451	100468516
aml	K04468	100469296
aml	K04490	100480690
aml	K04491	100467719
aml	K04492	100465982
aml	K04493	100480080
aml	K04494	100464946
aml	K04495	100476751
aml	K04496	100484032
aml	K04496	100470969
aml	K04498	100480008
aml	K04498	100468694
aml	K04499	100478901
aml	K04501	100465063
aml	K04502	100484750
aml	K04503	100469787
aml	K04504	100466714
aml	K04505	100477956
aml	K04506	100465948
aml	K04507	100471470
aml	K04508	100483061
aml	K04508	100470467
aml	K04510	100477682
aml	K04510	100469442
aml	K04511	100478086
aml	K04511	100469006
aml	K04512	100470657
aml	K04512	100475097
aml	K04513	100476723
aml	K04515	100475467
aml	K04515	100466256
aml	K04515	100474459
aml	K04515	100478243
aml	K05858	100481755
aml	K05858	100480603
aml	K05858	100465232
aml	K05858	100474779
aml	K06268	100474742
aml	K06268	100467683
aml	K07860	100469737
aml	K07861	100468971
aml	K08110	100477894
aml	K08957	100473522
aml	K08960	100473087
aml	K10151	100471517
aml	K10152	100479467
aml	K10162	100482525
aml	K16834	100466486
aml	K17388	100466003
aml	K19614	100482247
aml	K19626	100464110
aml	K19662	100478007
aml	K19663	100484719
aml	K19882	100469985
api	K00181	100570269
api	K00444	100162376
api	K00444	100574026
api	K00572	100168810
api	K00572	100576077
api	K01384	100164094
api	K01558	100159117
api	K01691	100569060
api	K02085	100166146
api	K02105	100166193
api	K02105	100162045
api	K02157	100167569
api	K02306	100164483
api	K02353	100166217
api	K02375	100162853
api	K02432	100166935
api	K02677	100161464
api	K03068	100163985
api	K03083	103308140
api	K03083	100168568
api	K03094	100164917
api	K03094	100168123
api	K03097	100160732
api	K03115	100145847
api	K03115	100166861
api	K03209	100162071
api	K03347	100160902
api	K03362	100166937
api	K03868	100162035
api	K03868	100162097
api	K04345	100161173
api	K04345	100163418
api	K04345	100159120
api	K04345	100159340
api	K04348	100162175
api	K04392	100163291
api	K04392	100168858
api	K04392	100165022
api	K04427	100159713
api	K04440	100163276
api	K04448	100161138
api	K04448	100160348
api	K04451	100575088
api	K04468	100162414
api	K04491	100161896
api	K04496	100158965
api	K04498	100162127
api	K04499	100161840
api	K04501	100158761
api	K04501	100158948
api	K04501	100162614
api	K04501	100164543
api	K04501	100167677
api	K04506	100164664
api	K04506	103310302
api	K04508	100168609
api	K04508	100163491
api	K04508	100163922
api	K04510	100166671
api	K04511	100159889
api	K04512	100160941
api	K04513	100162082
api	K04513	100160039
api	K04513	100165277
api	K04515	100161639
api	K05858	100166756
api	K05858	100162131
api	K06268	100162564
api	K08110	100168053
api	K08957	100166787
api	K10151	100164890
api	K10151	100167546
api	K17388	100164812
api	K19882	100165630
apla	K00182	101799824
apla	K00182	101800865
apla	K00312	101800064
apla	K00312	101803262
apla	K00408	101791711
apla	K00408	101793827
apla	K00444	101802371
apla	K00444	101792356
apla	K00445	101803438
apla	K00572	101805245
apla	K00572	101792761
apla	K00714	101796899
apla	K00714	101797449
apla	K01064	101803319
apla	K01064	101804224
apla	K01357	101803237
apla	K01384	101798327
apla	K01384	101792827
apla	K01397	101793749
apla	K01558	101795639
apla	K01645	101798861
apla	K01691	101791290
apla	K02085	101795988
apla	K02085	101793979
apla	K02105	101805265
apla	K02157	101800899
apla	K02165	101790422
apla	K02165	101802802
apla	K02166	101791559
apla	K02176	101794947
apla	K02185	101799069
apla	K02222	101793046
apla	K02235	101792127
apla	K02235	101797835
apla	K02329	101804946
apla	K02353	101803917
apla	K02353	101795365
apla	K02354	101804770
apla	K02375	101800624
apla	K02375	101792494
apla	K02376	101799157
apla	K02432	101800813
apla	K02432	106020644
apla	K02620	101803610
apla	K02677	101802546
apla	K02842	101793766
apla	K02842	101799597
apla	K03068	101790390
apla	K03068	101790650
apla	K03083	101802112
apla	K03094	101803413
apla	K03097	101804286
apla	K03097	101794550
apla	K03209	101792416
apla	K03213	101793483
apla	K03345	101796064
apla	K03347	101793264
apla	K03362	101795851
apla	K03362	101796951
apla	K03868	101796040
apla	K04345	101791856
apla	K04348	101792272
apla	K04348	101800684
apla	K04348	101794308
apla	K04377	101803370
apla	K04385	101799849
apla	K04392	101801980
apla	K04427	101800996
apla	K04440	101799011
apla	K04440	101799776
apla	K04440	101793594
apla	K04446	101793899
apla	K04448	101796626
apla	K04468	101804891
apla	K04490	101801135
apla	K04491	101790790
apla	K04492	101792052
apla	K04493	101802607
apla	K04494	101796404
apla	K04496	101805260
apla	K04496	101793303
apla	K04496	101798753
apla	K04498	101800809
apla	K04498	101800950
apla	K04498	101796241
apla	K04499	101789515
apla	K04501	101805274
apla	K04503	101800639
apla	K04504	101803919
apla	K04505	101804384
apla	K04506	101794815
apla	K04507	101799553
