			K00181	K03209	K00182	K00312	K00408	K00444	K00445	K00572	K00714	K01064	K01357	K01384	K01558	K01645	K19882	K01691	K19614	K16834	K02165	K02166	K02176	K02185	K02222	K02306	K02432	K02235	K02329	K02354	K02375	K02376	K02842	K04690	K03068	K10162	K08960	K02353	K03069	K03096	K03097	K03115	K03213	K03344	K03345	K03083	K02105	K02157	K04385	K02085	K08957	K02620	K04490	K04491	K04492	K04493	K04494	K04495	K04496	K04497	K04498	K04499	K04501	K04427	K04468	K04377	K04448	K04502	K04503	K10151	K10152	K04504	K01397	K04505	K04345	K04451	K04506	K04507	K03094	K04508	K03362	K03347	K03868	K08110	K04510	K04511	K19626	K04512	K04513	K17388	K04392	K07860	K07861	K04440	K05858	K04515	K04348	K06268	K02677	K19662	K19663	K04446
					100983371	100992553		100990957		100995012	100993563	100986204	100988140								100989056						103784670						100982738		100992719			100991559			100982778		100978387							100977146	100978340								100983301		100984888														100968237		100979152		106635345	100992638	100976100				100992381	100993173		100983888			100976112			100990080	100969660	100982179	100976987					
																					100992851																	100986952																																					100970917																100985182			100982480	100969344	100973727	100968593					
																																																																																															100987524	100983859						
E.Ani	Gorilla	ggo	101153520	101143181	101130779	101133265	101139722	101147792	101132496	101146237	101148055	101134101	101132868	101128994	101138602	101146666	101149602	101140707	101128339	101124830	101136606	101133072	101130108	101139573	101125988		101126536	101136716	101143757	101144636	101146009	101134372	101141352		101127672	101125374	101125954	101145045	101145617	101145989	101123844	101125572	101127360	101126031	101132516	101125534	101138779	101150555	101154299	101130129	101141838	101149731	101151621	109025238	101140253	101147518	101126846	101153151	101145130		101153383	101146247	101153595	101144707	101138810	101137026	101145729	101125389	101130447	101139749	101130628	101141752	101129238	101137687	101151469	101133524	101138854	101148490	101148010	101139281	101142383	101123881	101151577	101128621	101140201	101133603	101134506	101148990	101134778	101134988	101135430	101141534	101150322	101152026	101129357	101134676	101144930	101144871	101124828	101150691	101139074	101147593
					101129834	101148241		101151982			101140197	101147170	101142818								101141307						101150664		109027897		101153651		101141297		101142205			101146042			101148559		101131815							101137098	101148176			109028637					101134088		101144808	109026254	101153944										109025397		101133536		101149013		101150703	101139589	101152319	109025459			101127057	101151768		101148305		109025570	101126671			101124033	101140350	101153594	101132713					
																																			101136154			101141318													101130599										101136970														101134260							109024916			109025354									101133141	101153613	101148194	101146305					
																																																																																															101154323	101136547						
																																																																																															109024863							
E.Ani	Pongo	pon	100447682	100441356	100137034	100431449	100436330	100174132	100440643	100451196	100450268	100462535	100440744	100443554	100452466	100457598	100451418	100440377	100457889	100431718	100442184	100436273	100457192	100449407	100436048		100437467	100452043	100457942	100447615	100458618	100172142	100442825		100449188	100449424	100447547	100448038	100461775	100462141	100450298	100452206	100461343	100437255	100171874	100447772	100173739	100434605	100431721	100431482	100451008	100461234		100434811	100447785	100431961	100439513	100443758	100461333		100455260	100462068	100439171	100171454	100437341	100456735	100450292	100454350	100171625	100457978	100452570	100444721	100458458	100173083	100174748	100435218	100461683	100174632	100174716	100450322	100171847	100173991	100441665	100440937	100450773	100437803	100453593	100171665	100171605	100461801	100443271	100431483		100174482	100458716	100433531	100174530	100461146		100438798	100451563	100436209
					100460815	100448240		100447525			100448766	100452135	100441013								100435550						100444369						100438736		100452008			100454488			100173187		100437598							100435472	100173955								100457735		100445634														100431906		100451947				100432610				100435338	100451169		100441170						100459133	100460060	100172212	100455542	103889825				
																					100445173																	100454011																																																								100437424	100434502	100462386	100436675					
																																																																																															100461961	100436747						
E.Ani	Nomascus	nle	100594546	100587307	100600353	100599381	100604353	100596686	100606818	100593900	100586052	100602760	100607164	100594864	100605294	100587019	100596028	100595695	100580793	100590543	100598275	100582389	100605388	100592334	100594866		100597685	100580071	100589994	100588311	100589091	100603705	100607762		100586389	100606459	100607246	100585595		100584425	100588149	100589867	100589602	100605165	100589444	100606885	100583002	101179424	100589482	100602025	100585848	100595737	100601518	100605701	100593051	100581521	100595705	100591356	100603170		100589381	100604303	100599586	100596471	100593981	100589322	100586501	100592249	100605736	100585770	100580170	100584681	100581294	100586383	100583577	100583326	100595196	100605397	100596865	100606202	100583099	100580180	100596079	100591343	100597156	100588771	100594079	100594446	100607291	100585294	100604516	100598232	100602123	100602081	100606558	100597007	100583664	100600788	100591651	100590939	100601464	100598995
					100607954	100606846		100602014		100579580	100603238	100606502	100587640								100589069						100605346				100593717		100592375		100588313			100593186			100602220		100595277							100585467	100595404								100601461		100596998														100579779		100583599			100583434	100605260				100595061	100605904		100607357	100600848		105738104			100605285	100597115	100600165	100598029	100593195				
																					100595348														100582117			100583216																																					100607741																			100581677	100600507	100580290	100607264					
																																																																																															100600865	100591995						
E.Ani	Macaca	mcc	710426	709009	704991	716909	707864	721685	700573	713864	710242	716877	700692	696845	694069	713924	715276	677704	721262	713617	694869	702876	699915	574393	707738		703942	712381	713839	704754	708368	694625	717812		721605	710152	700565	714381	705609	705730	714841	715807	698036	693620	700717	713114	574265	100424087	718566	707345	710775	710234	694560	701759	695776	712257	708169	694097	694507		706258	706044	701803	703101	677693	694626	716452	106993191	574320	710379	695215	718861	703072	696274	709728	716170	716629	709343	100423634	100270702	708990	710581	710252	706665	720239	701254	714490	719553	706455	708444	717755	696709	719305	699736	701951	705980	706955	574258	718412	701195	720263	698089
					705773	696200		705692		693419	713764	696326	708906								702997						703064				710796		716392		695843			100423838			712455		709500							693443	695190								695124		704331														718632		694921			100424290	711843				709730	701864		701706						711115	718418	702504	708233	100428682				
																					705011																	705864																																					700652					106995151														715782	718387	706977	709773					
																																																																																															717764	710540						
E.Ani	Macaca	mcf	102125855	102120871	102130917	102131688	102143058	102129552	102132660	102137321	102121324	101867270	102133672	102130649	102142460	102142399	102143986	102115221	102117417	102130808	102123735	102133214	102147309	102132879	102131589		102128172	102121830	102115052	102134081	102143139	102131578	102142058		102145061	102119925	102144252	102138928	102117805	102118171	101865560	102125227	102128009	102121275	102121205	102133756	102146984	102142970	102129656	102123489	102140841	102142248	102125513	102116470	101925349	102142676	102142141	101925698	102121365		102135037	102116128	102142438	102140498	101865361	102127966	102126446	102115392	102135329	102119572	101865999	102125360	102139796	102138674	102117414	102135998	102147140	101867292	102142637	101866537	102136827	101867010	102132483	102136988	102139808	102129030	102136115	102145961	101865630	102133054	101866593	102137056	102143597	102126339	102136896	101866326	101926738	101866439	102135875	102116992	101865773	102133233
					102129174	102129654		102146380		102135636	102120527	102130297	102121241								102115952						102123369				102129777		102127626		102144265			102143975			102125825		102115145							102126553	102118238								102117103		102131731														102142443		102143770	102142027		102116467	102143687				102130793	102134323		102144285						102118497	102123165	101865637	102134477	102137250				
																					102134478														102130376			102130032																					102127640																101926461																			102121272	101925220	102126681	101866070					
																																																																																															102140615	101926613						
E.Ani	Chlorocebus	csab	103231923	103238251	103224207	103229967	103225420	103227777	103217884	103223483	103216388	103229968	103238252	103248071	103226795	103219430	103243743	103238648	103242544	103243354	103215690	103215672	103236416	103226212	103216356		103226575	103243320	103215545	103248178	103238123	103237249	103246638		103214791	103238055	103223312	103242279	103216335	103216336	103233082	103221761	103232692	103236064	103221107	103228213	103227444	103225216	103243176	103244338	103214298	103244543	103219950	103216817	103236088	103225635	103231386	103236807	103246496		103231770	103228097	103222414	103240115	103242604	103237430	103224726	103225555	103246489	103218410	103221504	103221615	103248342	103229302	103219549	103242323	103232443	103230550	103244544	103221224	103216409	103227180	103223367	103232583	103224154	103227843	103219130	103221547	103227629	103220805	103246815	103223272	103243748	103245120	103233299	103215984	103236040	103220127	103243171	103229829	103235232	103244028
					103226775	103243255		103218369		103228043	103244620	103243254	103217886								103236081						103217660				103217720		103239400		103218639			103221145			103216000		103214918							103234321	103244781								103216670		103223371														103224540		103231785	103237984		103231576	103244971				103223720	103238169		103229096						103215844	103246591	103236144	103215997	103219106				
																					103216187																	103225806																																					103234377																			103235918	103246657	103244792	103215459					
																																																																																															103245842	103226136						
E.Ani	Rhinopithecus	rro	104660667	104679729	104682628	104682399	104663222	104662531	104660036	104676099	104656476	104682400	104660037	104665095	104677318	104682654	104655017	104680822	104670322	104672425	104676724	104655205	104677749	104676843	104682803		104655247	104654721	104668245	104656419	104682682	104655138	104655547		104668335	104676563	104682535	104664635	104682839	104682818	104660810	104661923	104668712	104680064	104672744	104680990	104670934	104676962	104675432	104669245	104680771	104659811	104659731	104664436	104670045	104663048	104656259	104681654	104657769		104673260	104656942	104672916	104657888	104669360	104674798	104664278	104664803	104677168	104658979	104667309	104682855	104674660	104656202	104662061	104661662	104679031	104665528	104659810	104682414	104670124	104667014	104673455	104670205	104660394	104660502	104670789	104672280	104667372	104675191	104665823	104682502	104654979	104676194	104673127	104669984	104663623	104675975	104675428	104658258	104676027	104667797
					104658925	104672034		104676516		104679020	104681717	104672033	104679730								104669534						104680806				104680216		104681229		104664820			104655760			104664070		104672570							104671452	104677933								104657323		104672289														104677489		104655445		104677263	104675379	104656496				104665942	104677377		104682914						104668007	104659669	104676623	104663969	104670806		104665907		
																					104666043																	104679742																					104671731																104661051					104653789						104653842								104678447	104668296	104670410	104669965					
																																						104673334																																																									104655777	104671146	104676543					
E.Ani	Callithrix	cjc	100398110	100389319	100411308	100398579	100387135	100401066	100394855	100414221	100402422	100393646	100395222	100398625	100387388	100410143	100393886	100401777	100403187		100401841	100411463	100402798	100395487	100405181		100401631	100409481	100396334	100403228	100410939	100387077	100403975		100406268	100401264	100407384	100398229		100407124	100414021	100895978	100395772	100386020	100396716	100387683	100395047	100392475	100400518	100385653	100407431	100399154	100403963	100406757	100399759	100387267	100406255	100396115	100412920		100395278	100412664	100409302	100403175	100414864	100407754	100400411	100389942	100399312	100390172	100408249	100399649	100394775	100401034	100392123	100415710	100397231	100396375	100398187	100391895	100402300	100395702	100391523	100400754	100406546	100415172	100415162	100399045	100393236	100408337	100404109	100395636	100400756	100387686	100410075	100397956	100386369	100392986	100391814	100410136	100404028	100405187
					100395234	100385309		100405273		100387909	100414921	100397032	100388949								100387662						100404550				100398598		100398976		100389922			100388569		108594172	100388528	100401722	100405821							100397972	100385646		100408532						100398309		100405037								103796419						100407692					100386286	100389218				100386072	100408666		100401409						100390109	100409716	100390938	100386452	100388148				
																					100394179																	100390081															100385633						100402402																100400737																			100392721	100386921	100410352	100387059					
																																																																											100407753																				100400803	100405903						
																																																																											100408115																					100391424						
E.Ani	Saimiri	sbq	101049119	101044133	101037307	101035500	101050255	101038250	101028364	101027644	101041057	101035183	101029432	101050295	101032778	101046731	101032209	101028375	101043549	101039901	101044784	101053932	101045159	101041122	101052620		101030044	101046720	101037304	101054300	101036058	101047742	101030134		101045022	101027801	101049915	101035529	101053270		101039128	101027852	101033320	101033596	101051917	101051107	101043327	101035780	101036328	101049516	101037076	101029076	101033762	101037011	101047688	101053100	101049972	101053885	101048278		101050224	101039047	101032066	101045636	101042695	101047066	101043809	101044322	101047858	101049141	101047749	101031846	101053487	101027408	101034152	101043647	101027912	101028681	101030146	101033241	101035000	101051291	101031903	101048763	101039498	101050638	101033010	101036284	101052068	101039371	101042808	101029481	101046124	101039160	101052271	101052251	101045514	101039659	101046010	101039384	101032613	
					101051098	101048838		101040063		104652135	101037830	104650180	101043819								101045856						101049451						101032028		101054518			101028835			101048418		101034020							101034942	101036015								101045392		101033803														101036705					101028095	101044866				101039105	101033960		101028886	104650592					101027742	101046851	101031635	101035788	104650539				
										101048544											101050228																	101044711																																					101043989																			101048066	101047168	101041781	101032266					
																																																																											101047300																				101029401	101041452						
																																																																																																101038342						
E.Ani	Mus	mmu	53627	22408	22413	22415	22417	22418	22420	22421	20890	216795	22410	22411	93735	12622	77583	24117	20317	74499	13380	20377	20319	20379	54612		14362	57265	14365	14366	14367	14368	93897		16973	68010	27373	13544	14296	212398	12995	13001	93960	319478	75826	56637	12387	12005	12006	11789	93687	21414	21415	21416	16842	67087	67772	20671	13016		12914	56505	17128	26409	18099	17869	16476	14283	12443	12444	12445	19015	17393	19164	18747	22059	20437	12301	21402	21372	103583	26965	56438	14735	93840	243548	16348	208846	11848	19878	19353	19354	170758	26419	18795	108058	19057	19058	18750	18751	18752	18018
					22414	22416		22419		22422	22423	22412	22409								56811						14369				14370		14371		16974			13542	27412		13000		72293		114671					23805									13017		328572														18749		20438			81004	12234		100043674		229658	106042		76441	67653					26420	18797	12325	19055	19059				
																					234130																	13543							231201																																																	26414	18798	12323	19056					
																																													408192																																																		18796	12322						
																																													408191																																																									
E.Ani	Rattus	rno	317368	24881	116466	24882	84426	64566	316526	114850	291678	287357	315294	140584	500047	500485	303743	114557	287526	80722	293897	84402	310552	89803	309377		58868	64512	266715	64558	317674	282581	266608		312781	83837	58822	83721	308692	679110	116549	81650	308068	83824	78973	84027	84353	79257	29134	24205	113927	363595	312451	679869	161452	503000	65027	312936	29382		54244	65137	50554	313121	497961	24577	24516	25445	58919	64033	25193	25682	25335	29192	25636	24842	140941	289144	287280	302711	303024	362356	300084	317322	289229	315259	313228	316201	117273	25537	363875	366957		25272	24654	25400	24674	29748	24680	25023	24681	100361818
					114487	303181		282582		315196	293990	303586	316527								295445						100360552				364754		363913		293649			303811	103691373		307641		364952		408222					299611									81717		170915			100910771											293508					365755	361765				690366	312563		314212	297173					50658	29322	24246	24675	29749				
																					502097										100909849							303251							408216																																																	116554	85240	24245	171378					
																					108348170																																																																										25031	171140						
																																																																																																103693838						
E.Ani	Cricetulus	cge	100765928	100766046	100752722	100774849	100769003	100753089	100751289	100772978	100775075	100766088	100770174	100774690	100764115	100764648	100768485	100766071	100766774	100751279	100769380	100754312	100771184	100767339	100760670		100766658	100763109	100751712	100756296	100762351	100774509	100761155		100772150	100771599	100766643	100773535	103160455	100764150	100759365	100763034	100758544	100750942	100758372	100760865	100773307	100758169	100750382	100767273	100758298	100757390	100753225	100758400	100761200	100760454	100750414	103163039	100766703		100762260	100761458	100770737	100774341	100768473	100773301	100766306	103159499	100689063	100771544	100766025	100755002	100760540	100770550	100768997	100682525	100774026	100752498	100757677	100755304	100772242	100757763	100762556	100768625	100761060	100767513	100750579	100764704	100762797	100767265	100756792	100767225	100757479	100771734	100770957	100763272	100751412	100754314	100766006	100760922	100762950	100764851
					100761413	100764164		100753017		100755799	100752907	100764466	100766340								100774823						100770917	103163524			103161913		100755785		100763041			100770288	100760088	103159199	100763424		100753892		100756725					100750563									100769412		100770451					100758352									100767097					100751772	100750426				100750491	100769532		107977045	100757042					100764964	100751979	100769205	100764987	100773706				
																					100774676						103159793											100762587	100753006																																										100753568													100754361	100760134	100765253	100752571					
																																							103158790																																																								100760731	100752268						
																																							103162115																																																															
																																							100758062																																																															
																																							100773398																																																															
																																							103163256																																																															
																																							100767360																																																															
																																							100769263																																																															
																																							103163301																																																															
E.Ani	Nannospalax	ngi	103741637	103750567	103734912	103724772	103746395	103749032	103727729	103730373	103735176	103724773	103727730	103743015	103730604	103746575	103730157	103730877	103730519	103738270	103726619	103749421	103750989	103743890	103733189		103725249	103738297	103729990	103742963	103744444	103748769	103750619		103737771	103747988	103748588	103749746	103733205	103733235	103751629	103724441	103730122	103740619	103724651	103741948	103747127	103748223	103742203	103735168	103738092	103729786	103739783	103731749	103742515	103733106	103733815	103743190	103741116		103743486	103730346	103726635	103739547	103724495	103743920	103737138	103725010	103751498	103727547	103725891	103739671	103731642	103747390	103751850	103752115	103725299	103727984	103729775	103738674	103744000	103731381	103743488	103728773	103734946	103729130	103749086	103738101	103750189	103747607	103726484	103748617	103730658	103749366	103735195	103743264	103728037	103749104	103742202	103746928	103729666	103748128
					103737375	103739037		103739374		103743417	103743982	103740409	103750565								103732510						103736031				103748031		103746251		103744519			103752158			103735565		103749688		103742096					103737324									103744263		103744441														103728095					103745260	103748186				103740220	103743525		103739193	103743359					103748972	103728414	103734983	103747869	103734750				
																					103740598																	103732646							103732672																																																	103735023	103738797	103747079	103736944					
																																													103737228																																																		103741502	103736933						
E.Ani	Heterocephalus	hgl	101700667	101722636	101723565	101724651	101701972	101696315	101698823	101726616	101711747	101705646	101722280	101697582	101710484	101724244	101721669	101708267	101697774	101719889	101713511	101716300	101725661	101714800	101703189		101704351	101713401	101697238	101700404	101712115	101722552	101708726		101703711	101708610	101708403	101716996	101724371	101724720	101724504	101707338	101725771	101722758	101697516	101701301	101720578	101700795	101716964	101704055	101715121	101707882	101699909	101710380	101711023	101710659	101698950	101708706	101703892		101711512	101706408	101703764	101718269	101701893	101704740	101722197	101707849	101712621	101721480	101708062	101722175	101718114	101716186	101707235	101701769	101702094	101697007	101704606	101708107	101718253	101703786	101712475	101711237	101723140	101700621	101711760	101726077	101710109	101724195	101706434	101725000	101723777	101698286	101725860	101718749	101708178	101706255	101716044	101722702	101698346	101697946
					101704935	101716074		101711272		101725735	101715077	101715480	101699309								101706794						101697210				101708659		101708392		101711921			101710629			101717615		101710791							101699189									101720982		101714025											101726439			101721558					101721940	101726740				101715508	101702207		101724412						101712980	101696454	101713923	101719947	101710684				
																					101716025																	101715426			101704753																		101723949		101710779											101706229																						101715259	101708380	101722229	101698959					
																																																											101701512		101711143																																		101697744	101711305						
E.Ani	Oryctolagus	ocu	100342483	100354018	100126569	100009033	100303773	100009381	100348986	103347432	100342870	100352227	100351316	100009030	100353090	100008932		100337885	100356583	100356489	100340336	103352157	100009572	100342964	100355147		103348917	100350521	100339544	100342099	103352372	100344394	100355594		100352000	100356824	100341681	100358367			100301533	100301531	100356844	100344171	100345348	100348842	100125985	100348127	100339765	103346018	100352479	100339216	100340471	100358378	100352691	100356725	100358114	103348023	100340618		100354135	100338148	100342294	100343571	100348930	100327265	100008856	100338208		100009036	100009038	100008615	100357971	100008886	100008815	100009292	100355829	100346289	100339463	100358446	100340737	100345752	103352470	100351609	100354291	100340572	100344027	100347243	100356250	100346837	100339873	100356520		100337999	100348672	100101556	100009423	100344533	100037720	100037719	100009102	100352378
					100349847	100354583		100349579		100355697	100357933	100353559	100352839								100009504						100356368				100352919		100345803		103347478			100339336			100337973							100358325		100353976	100009227								100344790		100340619						100338341							103352058	100342212			100344315			100350519				100342211	100339312		100340474	100348967					100342664	100341512	100101557	100009487					
																					100356145														100009566																100356196																																						100346856					100346929	100350395	100341507	100356245					
																																																																																									100340661							100342451						
E.Ani	Tupaia	tup	102474936	102499190	102483867	102489001	102493340	102467720	102483667	102484353	102468229	102489417	102483253	102494826	102497530	102492393	102495135	102477559	102495041	102475233	102497760	102480765	102485441	102485521	102482876		102499195	102479307	102474963	102491949	102475157	102492375	102481011		102502071	102490927	102491476	102472352			102472736	102470309	102497432	102490751	102468810	102476038	102472740	102469399	102493766	102484859	102487962	102484318	102481394	102472810	102474621	102498577	102468821	102476666	102494077		102484800	102481992	102494008	102477331	102468920	102501999	102496870	102498337	102490651	102479902	102499577	102498565	102492968	102497708	102502506	102503238	102487856	102498097	102483646	102478422	102485164	102497446	102468598	102488715	102481910	102494426	102484732	102492923	102487039	102490242	102479102	102495436	102494727	102497095	102492903	102503259	102478870	102478386	102495954	102469271	102497204	102481120
					102479831	102501628		102489573		102500004	102490209	102496226	102481567								102492419						102492163				102487480		102479813		102473447			102468994			102488078									102470052									102499964		102468175														102478525			102494124	102487314	102488073	102483151				102479045	102487281		102477421						102472233	102476196	102472689	102480885	102474096				
																					102502870																	102485749																																											102495690													102475730	102477438	102482912	102478627					
																																																																																															102472532	102494625						
E.Ani	Canis	cfa	480903	486560	483220	609107	612367	484721	488527	481206	486841	482209	488528	485183	612328	611037	483374	481148	611276	490948	609600	482844	475471	483258	486826		482294	490937	486093	485149	487073	403610	486232		477692	487081	474510	478650	486819		477185	474844	487288	610189	478661	478575	477032	490099	490903	479139	479331	481506	612070	486894	478507		475401	486955	612240		479866	476512	476196	102156745	491160	403924	609429	483724	449028	611782	608847	481756	489432	403408	403556	403869	100856496	480062	474682	488176	479291	475512	474494	492144	483133	484699	442950	481783	403954	482970	403955	481271		477746	477160	489050	609027	612559	490904	489968	100855828	483925
					612141	482208		486756		607180	100855884	490919	486561								607210						488478				100855544		489809		100306933			489464			478108		488070							485084									100684514		100684945														479975					611017	486851					100856007		490714						478464	485773	610764	403486	610453			484316	
																					478502																	100855811																																																								474652	476034	612941	479248					
																																																																																															100856190	482687						
E.Ani	Ailuropoda	aml	100473692	100475007	100480237	100471555	100468584	100484068	100467896	100475153	100466672	100472460	100467643	100468561	100464171	100478213	100469985	100484613	100482247	100466486	100466975	100481836	100465382	100473337	100482494		100469196	100469249	100468831	100470379	100478649	100464621	100479765		100473379	100482525	100473087	100466067	105236609		100471788	100469386	100469227	100470714	100476800	100479224	100477834	100473018	100477069	100472257	100473522	100476528	100480690	100467719	100465982	100480080	100464946	100476751	100484032		100480008	100478901	100465063	100466506	100469296	100464396	100483834	100484750	100469787	100471517	100479467	100466714	100480431	100477956	100468252	100468516	100465948	100471470	100463880	100483061	100470916	100466596	100469702	100477894	100477682	100478086	100464110	100470657	100476723	100466003	100465648	100469737	100468971	100477951	100481755	100475467	100477289	100474742	100477326	100478007	100484719	100470861
					100481665	100473835		100473854		100474982	100481684	100475103	100475265								100481257						109489608				100467779		100469765		100477840			100471972			100479210		100484038							100465768									100470969		100468694														100469628					100470467	100479018				100469442	100469006		100475097						100482196	100480603	100466256	100467653	100467683				
																					100471186																	100480005																																																								100477600	100465232	100474459	100474970					
																																																																																															100474779	100478243						
E.Ani	Ursus	umr	103669346	103675620	103675048	103678870	103666795	103675062		103669629	103663793	103678871	103662888	103678127	103676602	103662197	103666005	103656958	103667160		103661721	103677105	103658096	103674614	103658688		103659948	103665868	103675953	103675375	103659958	103661527	103670220		103679626	103656491	103676389	103676184			103674361	103682308	103679267	103661825	103676063	103678785	103680384	103668450	103665908	103681784	103664607	103663815	103671448	103657263	103661728	103666672	103681537		103676926		103668810	103669488	103664305	103660092	103667237	103661697	103670861	103679475	103671139	103675743	103664092	103665463	103662460	103671416	103662972	103660368	103673810	103668388	103663817	103666342	103664495	103668956	103674160	103672974	103669416	103674227	103678515	103680874	103674825	103660117	103670095	103676407	103666008	103676947	103674425	103674683	103673318	103671340	103665907	103668895	103672914	103658473
					103676588	103665889		103675761		103674134	103658927	103665888	103675452								103677057						103658791						103661238		103677754			103660462			103673753		103673914							103675797									103659474		103674159														103682183		103668098			103676130	103678776				103672039	103675400		103672757						103679990	103674426	103661761	103667825	103678534				
																					103661909																	103682075																																																								103667893	103679549	103668027	103677943					
