Ortholog table																																		
																																		
PATHWAY: 04330 																																		
																																		
   All   Eukaryotes   Prokaryotes   Animals   Plants   Fungi   Protists   Bacteria   Archaea    																																		
Grp	Genus	Organism																																
			K06051	K06052	K21635	K05948	K02599	K20994	K20995	K20996	K06053	K06054	K06055	K06056	K02353	K06057	K06058	K06059	K04505	K04522	K06060	K06170	K06171	K06172	K06061	K04498	K06062	K06063	K06064	K04496	K04497	K06065	K06066	K06067
																	101865985																	
E.Ani	Chlorocebus	csab	103234675	103246494	103229794	103243752	103239621	103224078	103234066	103221706	103245400	103241935	103225755	103221488	103242279	103229304	103246668	103220846	103229302	103229985		103234532	103223723	103247187	103245110	103231770	103243423	103229400		103246496		103239348	103217351	103225192
			103245808			103223279					103246259				103221145	103235508	103228182							103245510	103248288	103223371	103241748			103216670				103240535
			103240985			103246864									103225806		103234982								103236289									103239354
																	103238581																	
																	103239159																	
E.Ani	Rhinopithecus	rro	104674405	104655766	104673055	104664990	104669778	104660335	104661025	104673909	104678850	104669884	104677090	104667325	104664635	104656274	104666658	104675213	104656202	104677021		104667082	104660397	104681084	104676227	104673260	104680633	104677625		104657769		104666335	104660251	104677352
			104666892			104654981					104666019				104655760	104676108	104667924							104670854	104654335	104672289	104665709			104657323			104658417	104654770
			104676143			104682508									104679742		104682354								104671804					104671731			104675659	104657112
															104673334		104681207																	
																	104679444																	
E.Ani	Callithrix	cjc	100403776	100414977	100407348	100397710	103795708	100393852	100408994	108587674	100403762	100398058	100397404	100400855	100398229	100401784	100410155	100406520	100401034	100399890		100391204	100405811	100411289	100390939	100395278	100404275	100405519		100412920		100388955	100392930	100402327
			100408189			100397083					100400742				100388569	100397248	100397312							100401462	100413881	100405037	100414237			100398309				100399690
			100398335			100394244									100390081		100404190								100386797					100402402				
																	100403865																	
																	100392823																	
E.Ani	Saimiri	sbq	101044427	101043243	101029483	101031267	101030819	101041963	101043110	101035143	101051066	101047984		101052424	101035529	101040865	101050042	101049053	101027408	101051940		101050478	101032566	101049980	101033442	101050224	101044914	101034383		101048278		101048267	101032242	101041477
			101041321			101028632					101051431				101028835	101028577	101037694							101029522	101046628	101033803	101035750	101051497		101045392			101037533	104650467
			101036391			101052656									101044711		101047020								101038013									101039964
																	101037511																	
																	101030754																	
E.Ani	Mus	mmu	13388	16449	16450	16848	18128	18129	18131	18132	19664	15205	15208	19208	13544	18222	14357	11491	19164	19165		66340	59287	226548	103806	12914	14534	66354		13016		20602	66935	15182
			13389			17305					19668				13542	18223	207521							68318	433586	328572	18519			13017				433759
			54485			19719									13543		209200							208117	270118									
																	74198																	
																	80904																	
E.Ani	Rattus	rno	114125	29146	29147	315119	25496	29492	56761	406162	362268	29577	79225	116462	83721	292732	293774	57027	29192	81751		292788	289231	365872	303101	54244	303539	500695		29382		360801	362149	297893
			311332			170905					679028				303811	29419	304591							300802	689844	170915	301164			81717				84576
			84010			60433					297767				303251		687424							691658	310405									84577
																	500847							108348064										
																	498089																	
E.Ani	Cricetulus	cge	100750697	100750525	100753300	100762397	100761880	100771788	100753340	100765940	100759718	100752756	103159170	100773332	100773535	100771300	100759272	100684971	100770550	100752237		103161443	100761836	100760965	100762611	100762260	100772054	100759596		100766703		100769124	100771162	100752721
			100763048			100762875					100774626				100770288	100769776	100755527							100772143	100767462	100770451	100774478			100769412				100764557
			100773804			100771257									100762587		100764385								100768930									100761556
																	100772295								103164483									
																	100755415																	
																	100764941																	
E.Ani	Nannospalax	ngi	103750746	103729189	103752541	103730070	103741215	103732001	103731622	103724403	103736666	103738854	103749777	103730807	103749746	103750769	103733336	103747629	103747390	103725095		103729935	103740224	103750079	103749376	103743486	103735888	103739444		103741116		103739014	103751752	103733778
			103742345			103748612					103737516				103752158	103747387	103741977							103742667	103742373	103744441	103734285	103739468		103744263				103745919
			103744923			103748675									103732646		103733477								103748245									
																	103742906																	
																	103745546																	
E.Ani	Heterocephalus	hgl	101698853	101701202	101696431	101699763	101704336	101712759	101722220	101708407	101701560	101697897	101724400	101726742	101716996	101714090	101717817	101720924	101716186	101705181		101700116	101718052	101712646	101721888	101711512	101724847	101720009		101703892		101702626	101713751	101715102
			101721317			101722987					101726624				101710629	101703757	101698438							101717558	101721053	101714025	101711015			101720982				101712029
			101725599			101725480									101715426		101697379								101717113	101710779				101723949				
																	101709153									101711143				101701512				
																	101709686																	
E.Ani	Oryctolagus	ocu	100352191	100339551		100355921		100343819	100352722	100343400	100352205	100358704		103349830	100358367	100345271	103351740	100101613	100008886	100343671		100347447	100344741	100342209	100345650	100354135	100347774	100354981		100340618		103346650	100350485	100355156
			100344124			100357457					100346517				100339336	100338948	100340510		103352058					100353867	100354708	100340619	100346295			100344790				
			100339893														100345028								100356351		100353065							
																	100346085																	
																	100353341																	
E.Ani	Tupaia	tup	102479901	102476608	102471501	102491172	102482344	102479715	102471365	102493414	102483265	102495758	102498706	102491565	102472352	102479348	102497312	102496316	102497708	102490523		102487309	102479873	102482683	102499557	102484800	102480159	102488157		102494077		102469122	102478159	102503291
			102480910			102497808					102471026				102468994	102499792	102501019							102487187	102484990	102468175	102476156	102488462		102499964		102501933		102468100
			102468123			102493487									102485749		102495450								102471355									
																	102474189																	
																	102501633																	
E.Ani	Canis	cfa	484508	485769	490882	483376	480676	483148	610439	481726	485892		489614	481804	478650	480381	479723	475662	403408	490382		476479	488638	487589	485116	479866	477052	480405		612240		486242	478804	487309
			607575			489891					479122				489464	612491	483461							100855839	481457	100684945	490971			100684514				475035
			100688936			610303									100855811		478586								483814									
																	100687947																	
																	486276																	
E.Ani	Ailuropoda	aml	100472990	100474031	100465289	100468722	100468934	100464781	100463860	100477609	100467477	100481439		105235480	100466067	100471950	100465821	100482770	100477956	100466510		100464419	100477937	100470513	100469757	100480008	100482031	100465183		100484032		100483813	100472607	100477725
			100468026			100479208					100480511				100471972	100467801	100465180							100479798	100473652	100468694	100468755			100470969				100478424
			100484708			100470247									100480005		100465104								105236208									
																	100482456																	
																	100479201																	
E.Ani	Ursus	umr	103660784	103674543		103666011	103675283	103677132	103677204	103682271	103669875	103676171		103664080	103676184	103661101	103666272	103675912	103671416	103667043		103682517	103672041	103667559	103660724	103668810	103672619	103670735		103676926		103661248	103659581	103676974
			103673543			103676401					103658384				103660462	103671373	103670142							103679107	103680012	103674159	103681930			103659474				103666443
			103661087			103670070									103682075		103678830								103657967									
																	103661291								103658075									
																	103656643																	
E.Ani	Felis	fca	101083683	101093427	101089198	101097256	101094384	101091800	101088469	105259844	101100207	101091223	101089627	101092608	101095675	101087490	101082071	101089004	101087239	101081693		101084076	101090586	101083193	101090687	101088344	101080732	101081813		101095494		101083973	101095430	101099228
			101086978			101080753	109493592			105260569	101088656				101084782	101091324	101087089							102902223	101101664	101094471	101094713			101099152				101088165
			101095456			101092320				101080381					101094385		101095436								101096441									
																	101088366																	
																	101083896																	
E.Ani	Panthera	ptg	102951103	102963021		102962200	102957861	102961729	102953716	102970846	102955590	102955935		102960446	102954084	102963495	102968220	102948618	102966511	102972248		102961369	102954118	102961126	102958059	102953207	102972197	102966219		102971287		102965776	102958409	102952507
			102952034			102961069					102954301				102967723	102965159	102952515							102958827	102952850	102968704	102955875							102968123
			102961766			102956076									102957003		102952146								102954173									
																	102967633																	
																	102954973																	
E.Ani	Acinonyx	aju	106968571	106983335	106985950	106986348	106989563	106978507	106982902	106983489	106968999	106976345		106973968	106988759	106974445	106982082	106982950	106974447	106968626		106974705	106978522	106986405	106970156	106978741	106981451	106974389		106978849		106978354	106987994	106968918
			106979590			106984500					106975118				106983787	106979608	106986785							106986667	106970752	106979918	106972603			106971722				106982428
			106978660												106972415		106980720								106976181									
																	106984087																	
																	106975868																	
E.Ani	Bos	bta	505993	783681	517405	505267	767866	513730	789485	536128	540059	539547	787633	513669	523325	510973	512873	517541	282705	282010		493993	514929	539247	521194	505453	514420	326578		281730		538549	534057	404126
			518746			516209					767928				539203	512187	528508							530913	100336926		407215			513131		104968594		407223
			788775			532242									614312		532767								540588									
																	524779								107131260									
																	515051																	
E.Ani	Bos	bom	102272154	102287080	102264647	102286691	102277930	102272746	102270219	102267612	102279459	102264508	102283729	102288012	102287954	102281415	102286053	102279111	102282629	102284134		102277652	102274402	102281250	102283317	102264880	102284799	102271488		102285032		102284731	102271304	102279602
			102277712			102288229					102284690				102273776	102278302	102282100							102268879	102281534	102273007	102273269			102268831				102265183
			102283833			102276513									102280462		102280951								102280854									
																	102273226																	
																	106701285																	
																	106701284																	
E.Ani	Pantholops	phd	102323314	102342259	102332781	102344439	102332566	102330080	102336795	102329751	102324310	102323229		102329528	102319823	102343990	102319028	102319953	102318280	102330841		102341451	102316644	102344441	102333068	102334699	102318704	102340334		102319911		102336854	102331238	102339088
			102321569			102323841					102340904				102338674	102319203	102340909							102341528	102326302	102337371	102326656							102333560
			102316161			102342526									102331639		102324652								102316347									
																	102320347																	
																	102333128																	
E.Ani	Capra	chx	102184186	102189768	102189630	102178708	102172636	102177020	102189202	102173344	102185075	102177474	108637781	102176652	102189698	102188890	102172763	102188327	102182879	102190980		102177363	102183281	102190653	102191545	102187383	102184382	102172728		102173064		102176908	102183110	102177165
			102180396			102178013					102186030				102188083	102183334	102186039							102170430	102181584	102187824	102184470			106502236				102187544
			102182594			102169449									102182444		102174191								102184738									
																	102183479																	
																	102190715																	
E.Ani	Ovis	oas	780478	780486		101121756	101115020	101112098	101123554	101111324	101107196	101106560	101103410	101110628	101107926	101120009	101119106	101116815	101102488	101113776		101120856	101120457	101103438	101102586	101110136	101115756	101115879		101104910		101121042	101105893	101107708
			101117853			101103554	101121333				101111217				101104259	101102733	101118862							101111553	101119558	101123600	101109985			101115416			101121654	100820752
			101116337			101106785	101121082				106990174				101117599		101110361								101115315									
						101112372											101109123																	
																	101116532																	
E.Ani	Sus	ssc	100152163	100156773	100522743	100524978		100153369	102158881	100144522	100518262	100499567		100126289	100525170	100522019	100517143	397343	780411	780410		100518735	100156098	100154978	100520231	100156226	100524215	100623576		100154421		733643	100511415	100156170
			100520433			102161832		100520559							100621038	100627312	100520459	100738598							100626233		100626923							100622482
			100620481												100625452		100521724								100739729									
																	100523432																	
																	100620343																	
																	100524958																	
																	100739198																	
E.Ani	Camelus	cfr	102513087	102511823		102509192	102515615	102517418	102522765	102507311	102513913	102503828		102507731	102508928	102505630	102517272	102508816	102507075	102516800		102507260	102518464	102504132	102521818	102505509	102517009	102511967		102508242		102513196	102514499	102508320
			102510495			102506111	102520446				102518246				102504125	106730273	102509257							102505639	102506262	102515619	102511960			102519579		102523592		102504100
			102511280			102518312									102516993		102512550								102524583							102512370		
						102506937											102520059								106729843									
																	102508267																	
																	102519639																	
																	102518355																	
E.Ani	Balaenoptera	bacu	103002651	103001492	102997766	103005287	102997868	103014791	103013129	103008998		103018658		103001920	103009589	103000205	103001526	103004501	103001941	102998556		103017462	103001355	103019151	103001354	103016523	103010689	103011655		103004856		103013767	103020701	103000794
			103008745			103019781									103006135	103002934	103002726							102999717	103010906	103000044				103020894				102998477
			103017665			103009108									103001138		103011669								103007038									103015711
																	103015378																	
																	102997884																	
E.Ani	Lipotes	lve	103082526	103089749	103091567	103075553	103091390	103083591	103078398	103088388	103080331	103079775	103071532	103076559	103082466	103071666	103084417	103086820	103070847	103074533		103074677	103072410	103086290	103070763	103079020	103080529	103069389		103089309		103075230	103073586	103070161
			103072496			103089921					103077598				103078766	103080778	103089308			103072471				103083721	103089653	103070724	103085599			103084760			103086789	103070274
			103070090			103076301									103086975		103070980								103078073									
																	103084558																	
																	103085669																	
E.Ani	Equus	ecb	100067648	100064289	100063598	100057395	100068764	100067078	100146771	100059541	100070913	100069015		100067052	100061612	100050235	100050618	100072496	100050164	100054506		100051536	100058515	100054581	100067991	100055626	100061976	100059578		100056830		100146720	100064837	100072578
			100052876			100069766					100055547				100147200	100068203	100060906							100067205	100063201	100069613	100053057			100052216				100070281
			100057073			100147464									100147654		100066645								100067311									
																	100060632																	
																	100051299																	
E.Ani	Myotis	myb	102257976	102239114	102247586	102238965		102253740	102263849	102246571	102251519	102247384		102257049	102247666	102252188	102250762	102256292	102251307	102242706		102244405	102247882	102248896	102248464	102260716	102256768	102250488		102242646		102246120	102239749	102242800
			102241481			102261162		102248493		102253244	102247977				102263975	102250230	102252656					102252620		102243839	102242544	102249541	102257744	102257193		102250594				102243153
			102242880												102242768		102243687								102259937	102249092								
			106725061														102257554									102261202								
																	102240653																	
																	102249514																	
																	102242695																	
E.Ani	Myotis	myd	102756052	102754312		102764930	102759072	102772197	102767944	102752413	102767994	102755556		102762882	102751460	102773047	102760894	102767398	102773904	102772354		102757994	102755408	102766022	102753315	102773412	102765994	102774373		102772516		102763411	102763094	102764610
			102758782			102767457					102768470				102771718	102755446	102767248							102759320	102767217	102760017	102757677	102772926		102753914				102773716
			102752350			102761145									102770215		102757485								102754119									
																	102756695																	
E.Ani	Hipposideros	hai	109383961	109378995	109381012	109380238	109381350	109389880	109376063	109373115	109379963	109387269	109391133	109382866	109371312	109381545	109382230	109386655	109381602	109391446		109372064	109386491	109387105	109394189	109392135	109395783	109381535		109390943		109386033	109388739	109391669
			109391679			109394533					109382706				109391189	109374868	109388199							109372289	109392779	109392262	109393983			109389011				109384760
			109395346			109393064									109394615		109385042								109390552									
																	109390753																	
																	109389990																	
E.Ani	Pteropus	pale	102882856	102883084	102891267	102879652	102889752	102887446	102898799	102895453	102882176	102890128	102893116	102878381	102895469	102883621	102892243	102894565	102883360	102888829		102897571	102883430	102881226	102885474	102881042	102885647	102898812		102899024		102895738	102886690	102890938
			102891557			102885010					102898780				102881158	102880056	102888219							102886686	102881263	102886172	102885891			102879836				102878536
			102892930			102892443									102880039		102889719								102883015									
																	102896208																	
																	102885068																	
E.Ani	Loxodonta	lav	100662144	100658294		100655946	100659212	100665966	100661550	100656367	100656967	100660397	100675106	100666789	100673586	100674666	100674079	100663807	100669746	100660389		100655781	100668088	100663360	100657378	100663731	100671393	100657629		100674095		100660810	100659401	100666845
			100671694			100669607					100660392				100657649	100667670	100659187							100677730	100653892	100661096	100668740			100675757				100673540
			100654838												100657749		100673734								100677356									
																	100654887																	
																	100661227																	
																	100671097																	
E.Ani	Monodelphis	mdo	100014594	100033275	100014054	100029839	100616999	100013355	100012590	100025710	100029959	100011897	100027928	100010463	100010047	100019565	100027452	100032069	100019628	100026453		100016311	100029698	100016786	100032165	100028102	100031193	100017115		100025014		107652070	100025648	100022756
			100032054			100025532					100012090	100027474	100027956		100022768	100018168	100029021							100619635	100013015	100013876	100012508			100010586				100032301
			100032690			100012518									100617787		103094279								100027357									
																	103096551																	
E.Ani	Sarcophilus	shr	100933691	100931367	100921475	100924408	100928250	100919958	100926977		100927537		100933566	100930445	100931932	100913634	100927757	100926795	100914418	100928719		100927923	100918120	100930387	100933612	100926283	100922650	100932860		100915704		100914103	100935379	100913322
			100919868			100930580					105749035		100933821		100932600	100915335	100927745							100927096	100920195	100921187	100926508	100927990		100934642				100927352
			105750094			100914846									100932119		100932129								100927963			100920420						100922375
						105749498											100922681																	
																	100931676																	
																	100929620																	
E.Ani	Ornithorhynchus	oaa	100084879	100084421	100091037	100093244	100092718	100081510			100083614	100081083	100079434	100077645	100091980	100680687	100076596	100086345	100091250	100076299				100091348	100074347	100080510	100077074	100073600		100079718		100074498	100084368	100081366
			100088465			100078922											100074814								100081801	100076960	100084553							100093591
																	100090946								100080195									
																	100092577								103170151									
E.Ani	Gallus	gga	423208	396043	776138	395789	395655	374031			419185	395128	419392	100858958	424949	395639	395516	421931	373977	374188			426905	431243	422445	416667	428441	423381		423958		416815	426529	395635
			395820			395790					422802	769039	419390		419416		417515							769986	416286	418000	374232			422904				373961
						418042											424267								428088					416354				
																	770657																	
E.Ani	Meleagris	mgp	100540793	100547052	100541918	100539077	100546162	100540801			100549746	104912623	100551279	100538775	100542715	100546952	100550815	100549409	100548338	100547513			100549548	100539269	100544041	100543704	100548985	100546954		100547166		100550924	104911780	100541443
			100544223			100549739					100540481	100543952	100551127		100542700		100543892								100542121	100542241	100543932			100544762			100550341	100546927
						100544514											100550596								104917623					100540086				
																	100538370																	
E.Ani	Coturnix	cjo	107311443	107310945	107315355	107320761	107321700	107317104			107323009	107318289	107323256	107310910	107318246	107314861	107322456	107312200	107314867	107310896			107324410	107305821	107308417	107312938	107325120	107315132		107313898		107321168	107316658	107323875
			107314835			107313900					107313969	107323568	107323479		107323265		107321462							107324514	107313100	107320924	107309257			107316246				107311872
			107307268			107322080											107316789								107320121					107320035				
																	107314419																	
E.Ani	Anas	apla	101792399	101801713	101800386	101790022	101793300	101800396			101802372	101792654	101799035		101803917	101789669	101800263	101794295	101804384	101791857			101804053		101791113	101800809	101805426	101804739		101805260		101791213	101802623	101793506
			101803503			101800803					101805321		101799414		101795365		101794642								101804735	101800950	101792577			101793303				101797531
						101797427							101799229				101795814								101798689	101796241				101798753				
																	101794771																	
E.Ani	Taeniopygia	tgu	100230776	100218171	100231610	100218383	100224074	100224680			100227623	100225879	100226434	105759066	100231182	100226855	100219830	100225922	100223971	100232599		100190578	100222138		100231052	100227395	100227387	100221039		100224313		100219945	100219832	100218599
			100221955			100232663					100221995		100224489		100220188		100218096								100220940	100231106	100221709			100225326				100220830
						100232033							100221262				100227209								100231931					100219906				
																	100217780																	
E.Ani	Geospiza	gfr	102044857	102036252	102039463	102032502	102041448	102044082			102031715	102033320	102034026	102044688	102039062	102032588	102041989	102034165	102031986	102040969			102034764	102034039	102038948	102043483	102043992	102043839		102033763		102036819	102043215	102045090
			102045124			102045657					102036513		102034191		102042753		102044440							102044153	102032203	102038495	102036361			102041811				102038486
						102045456											102045315								102040854					102044654				
																	102031511																	
E.Ani	Ficedula	fab	101819885	101812750	101817534	101808008	101808230	101806559			101822218	101817621	101819112	107603477	101819961	101819294	101820482	101814343	101810998	101821118			101809488	101820901	101810413	101810784	101820857	101815070		101817722		101807710	101817607	101809249
			101814466			101819642					101806810	101816382	101818931		101814246		101822143								101820361	101809867	101819015			101821195				101819193
						101818865											101814962								101810778					101814780				
																	101811459																	
E.Ani	Pseudopodoces	phi	102103426	102099401	102103419	102104211	102114193	102109494			102099453	102101553	102102765	102111415	102100381	102109598	102114169	102106429	102110260	102107717		102108002	102105278	102102698	102108788	102103022	102100634	102114044		102099743		102099883	102103660	102104750
			102104688			102107617					102110878	102100435	102102956		102106626		102100732								102109475	102103796	102111563			102111898				102102768
						102103333											102107841								102106380					102106499				
																	102109792																	
																	102106148																	
E.Ani	Corvus	ccw	104684457	104691529	104688914	104696299	104688494	104695437			104690694	104693506	104693289		104687975	104683250	104691107	104685448	104683275	104685571				104686747	104690116	104696533	104689063	104685513		104694944		104688735	104693859	104694685
			104688175			104685032					104687879		104693290		104693398		104694040								104689700	104684955	104697811			104690797				104691262
						104698221											filler								104697276					104689459				
E.Ani	Falco	fpg	101921686	101923066	101922343	101914835	101924659	101913048	101921282		101914003	101912686	101922778	101921532	101911922	101922499	101923909	101924106	101922107	101914026			101924768	101917609	101914273	101920795	101912497	101915181		101917137		101913529	101911106	101920073
			101924204			101916406					101922568	101916136	101922954		101912223	106112783	101915058							101913130	101917072	101924103	101920637			101915895				101923969
						101916735							101923125				101922903								101923208					101921591				
																	101916575								101917120									
E.Ani	Falco	fch	102050284	102047599	102058901	102059881	102047537	102046116	102059445		102046417	102046674	102058372	102046371	102050159	102052439	102049156	102055911	102052047	102052189			102058533	102052935	102053698	102045802	102046828	102059627		102046263		102052135	102051831	102055405
			102059352			102047108					102055604	102047850	102058545		102058771	106630809	102048103							102052027	102048839	102056653	102057415			102059033				102057203
						102054672											102058108								102055661					102050234				
																	102057577																	
E.Ani	Columba	clv	102085870	102097665	102083919	102094918	102090800	102095491			102083723	102097253	102089714		102090902	102097637	102095751	102098173	102098339	102086670			102085066	102096497	102084163	102097232	102091620	102090759		102094910		102090877	102086326	102085406
			102096537			102084027					102083604	102095829	102098987		102083825		102097647							102091985	102087680	102085000	102083878			102096394				102096090
						102092690							106146000				102095837								102091126					102083568				
																	102098825																	
E.Ani	Apteryx	aam	106498111	106498792	106483002	106496125	106487002	106499303			106498732	106498381	106485742	106494155	106483786	106498239	106497467	106494759	106498263	106482720			106482315	106491032	106493436	106488223	106483559	106482898		106486364		106497667	106499334	106493331
			106487338			106487094		106499704			106500124	106498398	106485755		106495571		106493442							106499504	106495487	106482329	106487634			106487161		106497665		106489693
						106488480									106483810		106493449							106499563	106491858					106484138		106497666		
																	106497348																	
																	106498433																	
E.Ani	Alligator	asn	102385762	102381007	102379624	102381094	102379085	102378173	102381093		102384488	102386735	102381442	102386775	102368492	102376303	102385735	102373202	102377042	102387066		106722968	102387806	102375744	102376059	102369497	102367884	102387361		102373402		102367986	102385753	102378546
			102388492			102386399					102372986		102370847		102369873	102375231	102376014							102373451	102387079	102371912	102370665			102386129				102375203
						102388348							102371097		102374968		102381586								102382319					102388379				
																	102368322																	
																	102379550																	
E.Ani	Alligator	amj	102570015	102572438	102575014	102566885	102574257	106736726	102573730		102570521	106737359	102570137	102566526	102577127	102558579	102576841	102560812	102558796	102572042		102568806	102561938	102571751	102571244	102571845	102572176	102568310		102566458		102563882	102570722	102561334
			102558081			102571352			106737792		102572301	109284733	102570601		102570134	102566544	102560771							102567968	102569849	106736758	102558317			102562924				106737180
			102559363			102567014						109280377	102570833		106736875		102576431								102566674					106736889				
																	106737199																	
E.Ani	Pelodiscus	pss	102452410	102461366	102452692	102455692	102449049	102452225	102458191		102445495	102463824	102453830	102458877	102448187	102445979	102450939	102454376	102445249	102444598		102447817	102458721	102463836	102460996	102451352	102448076	102450765		102454667		102445529	102445953	102447815
			102446756			102443867					102446905	102458752	102454467		102456265		102443844							102461392	102447274	102447947	102445835			102462263				102452071
			102459507			102458358							102454225		102444255		102451019								102456357					102456339				
																	102450685													102451846				
																	102462047																	
E.Ani	Chelonia	cmy	102940998	102944313	102941660	102932974	102932812	102939440	102930289		102943331	102940045	102934666	102938535	102935034	102943106	102947418	102933390	102942887	102932404		102931482	102943723	102930463	102941101	102943973	102932561	102940032		102932669		102929609	102943854	102936348
			102940211			102935387					102945485	102942708	102935112		102940481		102931218							102939888	102943750	102941740	102940936			102942916				102938055
			102941591			102931854							102934879				102939791							102935336	102942753					102934817				
																	102930665																	
																	102944547																	
E.Ani	Chrysemys	cpic	101934714	101950467	101933759	101934811	101941776	101943170	101932864	101948706	101943215	101931539	101931865	101933152	101944935	101931470	101931533	101938160	101947248	101931945		101947086	101952352	101949752	101932744	101940582	101941570	101951081		101937446		101938029	101943230	101943126
			101947678			101940585					101941036	101940738	101932514		101944412	101945235	101949014							101936239	101945935	101930946	101938841			101932467				101948365
			101947721			101950276					101951480		101932784		101945376		101936266							101949439	101953959					101938500				
																	101950533																	
E.Ani	Anolis	acs	100562797	100566281	100552963	100567901	103281734		100567900	103278129	100560381	100558110	100562263		100553090	100553815	100555386	100563907	100553615	100567182		100560078	100554460	100564353	100557151	100566746	100555803	100554269		100558730		100557700	100558104	100566341
			100567881			100565009	100558119				100565653	100558625			100565717	100566373	100565808							103282942	100551739	100563301	100556199			100565422				100554517
			100555876			100561637	100554984					103280462			100554463		100562257								100556381					100557253				
															103282927		100554238																	
																	103280270																	
E.Ani	Python	pbi	107326116	103048531	103060588	103060821	103058323	103050452		103063184	103060213	103049451	103057339		103051608	103055129	103056060	103060091	103054489	103051424		103058464	103049766	103067971	103055210	103059972	103067908	103064855		103066654		103056940	103055685	103048371
